SIDS,Budget_letter,Budget,Project,SDG,Funding,Year
Bahrain,398k,398000,Bahrain Unit for Sustainable Energy,1,Donor Countries,2022
Barbados,241k,241000,Engagement Facility,1,Donor Countries,2022
Barbados,282k,282000,Caribbean Recovery and Resilience Programme,1,Donor Countries,2022
Barbados,531k,531000,Accelerator Lab - Barbados & Eastern Caribbean,1,Donor Countries,2022
Barbados,56k,56000,Universal adaptive social protection in the Eastern Cari,1,Donor Countries,2022
Barbados,641k,641000,ENGAGEMENT FACILITY-BRB,1,Donor Countries,2022
Belize,548k,548000,Enabling Gender-Responsive Disaster Recovery,1,Donor Countries,2022
Belize,79k,79000,Spotlight Initiative,1,Donor Countries,2022
Belize,4k,4000,UNDP/OAK Re-granting Partnership,1,Donor Countries,2022
Belize,171k,171000,Building Resilient MSMEs - Accelerating Digitization,1,Donor Countries,2022
Belize,232k,232000,Digital Transformation Program,1,Donor Countries,2022
Cabo Verde,885k,885000,"PROGRAM TO SUPPORT EMPLOIMENT, EMPLOYABILITY & INSERTION",1,Donor Countries,2022
Cabo Verde,478k,478000,STRENGTHENING GOVERNANCE IN CABO VERDE,1,Donor Countries,2022
Cabo Verde,321k,321000,Accelerator Lab - Cabo Verde,1,Donor Countries,2022
Cabo Verde,1M,1000000,WEST AFRICA COMPETITIVENESS SUPPORT - CABO VERDE,1,Donor Countries,2022
Cabo Verde,2M,2000000,FONDS DAPPUI AU PROCESSUS DE DECENTRALISATION AU CABO V,1,Donor Countries,2022
Cabo Verde,86k,86000,COVID19 - CABO VERDE RESPONSE,1,Donor Countries,2022
Cabo Verde,337k,337000,"Sustainable, Integrated and Inclusive Finance Framework",1,Donor Countries,2022
Cabo Verde,466k,466000,INTEGRATED SUSTAINABLE AND INCLUSIVE FINANCE PROJECT,1,Donor Countries,2022
Comoros,200k,200000,Développement d’un réseau national d’aires protégées ter,1,Donor Countries,2022
Comoros,60k,60000,Renf. des capacités du Programme de Microfinancement FEM,1,Donor Countries,2022
Comoros,509k,509000,Appui à l’autonomisation des femmes Comoriennes,1,Donor Countries,2022
Comoros,82k,82000,Promotion de l’entrepreneuriat jeune et féminin dans les,1,Donor Countries,2022
Cuba,343k,343000,PROCESO DE FORTALECIMIENTO DE CAPACIDADES DEL GOBIERNO DE ARTEMISA,1,Donor Countries,2022
Cuba,136k,136000,FORTALECIENDO A LOS GOBIERNOS TERRITORIALES Y ARTICULANDO LA MATRIZ DE ACTORES PARA GESTIONAR EL DESARROLLO SOCIO-ECONÓMICO DEL ÁMBITO LOCAL.,1,Donor Countries,2022
Cuba,122k,122000,PADIT HOLGUIN,1,Donor Countries,2022
Cuba,3M,3000000,GESTION DEL CONOCIMIENTO Y FORTALECIMIENTO DE CAPACIDADES PARA LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO TERRITORIAL INTEGRAL,1,Donor Countries,2022
Cuba,398k,398000,"APOYO AL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES PARA LA GESTION ESTRATEGICA DEL DESARROLLO LOCAL, INSERTANDOSE ESTRATEGICAMENTE EN LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT)",1,Donor Countries,2022
Cuba,1M,1000000,Fortalecimiento de las cadenas de frutales en Cuba.,1,Donor Countries,2022
Cuba,9k,9000,INFORME NACIONAL DE DESARROLLO HUMANO EN CUBA,1,Donor Countries,2022
Cuba,202k,202000,Sector productivo y económico Huracan IRMA,1,Donor Countries,2022
Cuba,307k,307000,PADIT SANCTI SPIRITUS,1,Donor Countries,2022
Cuba,220k,220000,Adaptándonos a la sequía en Santiago de Cuba,1,Donor Countries,2022
Cuba,424k,424000,Emergencia Sequía Region Oriental Fase II,1,Donor Countries,2022
Cuba,2M,2000000,FORMACION PROFESIONAL JOVENES Y TRABAJADORES,1,Donor Countries,2022
Cuba,128k,128000,PADIT HABANA,1,Donor Countries,2022
Cuba,1,1,VENTANILLA ÚNICA DE INVERSIÓN EXTRANJERA EN CUBA,1,Donor Countries,2022
Cuba,100k,100000,RENOVANDO AL PNUD EN CUBA,1,Donor Countries,2022
Cuba,2M,2000000,SOLUCIONES INGENIERAS MALECON,1,Donor Countries,2022
Cuba,305k,305000,Integrated National Financing Framework for SDGs in Cuba,1,Donor Countries,2022
Cuba,783k,783000,RESILIENCIA URBANA HABANA,1,Donor Countries,2022
Cuba,646k,646000,Empleo para Jóvenes en Guantánamo,1,Donor Countries,2022
Cuba,40k,40000,Fortalecimiento del MCP VIH,1,Donor Countries,2022
Cuba,16M,16000000,Servicios diferenciados de VIH para poblaciones clave,1,Donor Countries,2022
Cuba,28k,28000,Kits diagnóstico COVID-19,1,Donor Countries,2022
Cuba,2M,2000000,Empleo Autoabastecimiento COVID-19,1,Donor Countries,2022
Cuba,831k,831000,Reducción del Riesgo de sequía e inundaciones,1,Donor Countries,2022
Cuba,240k,240000,SALTO DIGITAL,1,Donor Countries,2022
Cuba,833k,833000,Respuesta inmediata Pinar del Rio (H.Ian),1,Donor Countries,2022
Cuba,196k,196000,Emergency Matanzas Supertanker Base,1,Donor Countries,2022
Cuba,153k,153000,EMPRENDIMIENTOS DESARROLLO TERRITORIAL,1,Donor Countries,2022
Cuba,141k,141000,Housing-urban planning in Havana,1,Donor Countries,2022
Cuba,100k,100000,Industria Biofarmaceutica,1,Donor Countries,2022
Cuba,10k,10000,VUINEX. FASE II,1,Donor Countries,2022
Dominica,856k,856000,“Strengthening sustainable livelihoods and resilience i,1,Donor Countries,2022
Dominican Republic,167k,167000,"Incremento de la calidad y eficiencia de los servicios sociales, salud y nutricion, ofrecidos a los estudiantes por el Instituto Nacional de Bienestar Estudiantil (INABIE)",1,Donor Countries,2022
Dominican Republic,9k,9000,Progresando con Solidaridad,1,Donor Countries,2022
Dominican Republic,600k,600000,Eficiencia y Calidad Formacion Docente,1,Donor Countries,2022
Dominican Republic,284k,284000,Arquitectura Politicas Sociales,1,Donor Countries,2022
Dominican Republic,70k,70000,Implementando enfoques de Desarrollo Humano en políticas públicas de Republica Dominicana,1,Donor Countries,2022
Dominican Republic,146k,146000,Engagement Facility Project,1,Donor Countries,2022
Dominican Republic,200,200,Fortalecimiento Salud Publica,1,Donor Countries,2022
Dominican Republic,24k,24000,Fortalecimiento Red de Abastecimiento Social,1,Donor Countries,2022
Dominican Republic,2M,2000000,Fortaleciendo las políticas de exportación e inversión,1,Donor Countries,2022
Dominican Republic,455k,455000,Fomento PyMES RDigital,1,Donor Countries,2022
Dominican Republic,189k,189000,"Coordinacion Programa Cocoa Life RD, fase II",1,Donor Countries,2022
Dominican Republic,58k,58000,Inclusión social de las personas con discapacidad,1,Donor Countries,2022
Dominican Republic,15M,15000000,Gestion Logistica MINERD,1,Donor Countries,2022
Dominican Republic,5k,5000,Alineación de la Asociación Cibao a los ODS,1,Donor Countries,2022
Dominican Republic,176k,176000,Recuperación socioeconómica de hogares y MIPYMES,1,Donor Countries,2022
Dominican Republic,91k,91000,MINERD Equipos,1,Donor Countries,2022
Dominican Republic,4M,4000000,Fortalecimiento institucional del INAIPI,1,Donor Countries,2022
