Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2001,61.3,66.8,41.2,50.8,11.5,62.8,No Data,No Data,No Data,No Data,No Data,No Data,No Data,48.3,No Data,49.7,116.2,No Data,No Data,No Data,94.8,No Data,74.1,No Data,74.1,27.3,No Data,34.4,56.3,No Data,79.8,No Data,23,No Data,No Data,No Data,No Data,59,8.4,No Data,No Data,72.3,74.3,No Data,No Data,No Data,38.3,No Data,No Data,No Data
2002,No Data,No Data,35.6,46.9,12.4,55.3,90.4,33.2,35.8,No Data,No Data,91.6,No Data,47.9,No Data,48.1,109.4,No Data,No Data,127.4,84.1,No Data,79,44.8,No Data,No Data,No Data,35.5,48.1,No Data,85.2,No Data,No Data,No Data,63.4,No Data,No Data,57,8,No Data,No Data,75.1,76.2,75,No Data,19.3,34.6,No Data,No Data,No Data
2003,42,No Data,34.6,45.6,12.7,50.5,No Data,No Data,32.8,92,No Data,No Data,No Data,48.9,No Data,48.4,No Data,No Data,No Data,139.1,90.4,69,63.5,36.3,No Data,No Data,No Data,35.9,51.9,No Data,No Data,No Data,31,No Data,57.8,46.3,133.4,60,6.7,No Data,No Data,71.5,65.2,61.1,No Data,16.8,34.5,26.6,39.4,No Data
2004,42.2,No Data,36.2,46.4,No Data,No Data,96.2,No Data,40,90,No Data,No Data,No Data,44.9,No Data,47.8,95,31,No Data,No Data,81.2,68.1,62.4,No Data,No Data,No Data,No Data,37.7,45.3,53.6,82.2,45.5,24,65,57.8,No Data,128.7,54,6.6,No Data,No Data,65,69.8,59.2,No Data,20,35.2,28.5,No Data,No Data
2005,36.1,No Data,41.7,43,16.3,46.2,No Data,No Data,No Data,No Data,No Data,89,No Data,43.3,No Data,42.5,92.4,35,No Data,94.8,No Data,No Data,66.2,39,No Data,No Data,127,35.1,47.3,No Data,84,No Data,No Data,No Data,50.7,No Data,No Data,59,7.2,No Data,67,63,60.8,59.3,No Data,No Data,31.9,28.2,No Data,No Data
2006,40.1,No Data,43.4,37.3,13.2,45.8,81.5,20.1,25,84.1,No Data,No Data,58.7,41,No Data,47.1,101.9,39.8,No Data,No Data,97,75.5,60.5,42.6,No Data,No Data,No Data,34.5,43.8,No Data,69,No Data,No Data,No Data,47.6,No Data,110,54,6.6,No Data,No Data,No Data,61,59.5,No Data,No Data,35.5,25.1,37.2,No Data
2007,No Data,47.6,42.2,40.4,12.7,49.7,78,No Data,27.4,84.7,No Data,No Data,No Data,43.9,No Data,No Data,96.2,No Data,No Data,No Data,101.3,63.9,72,49,46.1,No Data,No Data,35.9,49.6,No Data,61.2,No Data,No Data,87.7,52,44,93,58.6,6.1,No Data,64.3,No Data,64.1,54,No Data,No Data,33.3,30.4,42,67.5
2008,No Data,59.2,39.9,39.8,12.3,No Data,No Data,17.3,No Data,83.9,No Data,74.7,No Data,50.8,No Data,No Data,No Data,27.4,No Data,113.6,No Data,No Data,58.2,51,No Data,No Data,90.6,34.5,No Data,No Data,55.8,No Data,No Data,No Data,45.3,44,No Data,59.3,6.1,No Data,No Data,66.4,No Data,51.4,No Data,No Data,37.9,No Data,No Data,No Data
2009,No Data,49.7,42.9,34,14.6,No Data,No Data,17.7,No Data,73.2,No Data,No Data,43.2,53.5,35.6,No Data,93,No Data,No Data,136.7,87.9,65,57.3,No Data,No Data,17.6,No Data,32.9,44,No Data,61.2,20,No Data,No Data,43.6,49.6,No Data,68.4,5,No Data,61.6,72.7,No Data,58.7,No Data,No Data,38,33.5,44.2,66
2010,No Data,41.4,42.6,35.9,13.8,No Data,64,17.6,No Data,80,27.9,71,No Data,54.3,32,No Data,93.1,No Data,No Data,No Data,84,66.1,70,49,No Data,15.4,82.2,31,No Data,53.3,60.5,No Data,26,No Data,39.7,No Data,No Data,56.9,4.8,No Data,No Data,67.4,75.6,50,No Data,24,No Data,26.6,No Data,No Data
2011,No Data,39.5,42.6,33.1,14.1,No Data,No Data,No Data,No Data,75.4,25.4,70.3,No Data,56.8,34.9,No Data,90,32.5,No Data,108.6,No Data,No Data,No Data,57.2,No Data,15.2,84.5,29.9,No Data,50.7,No Data,20,No Data,No Data,38.8,39.2,No Data,69.7,4.7,No Data,No Data,64.1,No Data,No Data,No Data,No Data,32,No Data,No Data,78
2012,No Data,37.7,38.6,32,14.2,No Data,No Data,5.6,No Data,70.7,25.6,No Data,No Data,51.7,37,No Data,89.8,No Data,No Data,106.4,78,No Data,52.5,No Data,No Data,13.9,No Data,29.6,No Data,50,No Data,No Data,34,No Data,37.5,No Data,112,64,4.3,No Data,No Data,67,55.7,47.7,No Data,No Data,No Data,No Data,No Data,81
2013,No Data,34.6,36.4,29,15.3,No Data,82.2,No Data,No Data,68.5,No Data,No Data,No Data,51.3,33.9,No Data,89.5,23.9,40.9,No Data,73.7,No Data,50.8,47.6,No Data,12.3,No Data,26.4,No Data,49,No Data,No Data,40.7,88.2,37.7,No Data,92,62,3.8,No Data,78,63.4,56.2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2014,No Data,31.8,35.4,No Data,14.3,No Data,74,No Data,13.6,66.6,20.1,No Data,No Data,48.9,31.2,No Data,No Data,No Data,35.9,112.9,No Data,59.4,46.4,49.6,No Data,12.9,No Data,24.5,No Data,No Data,81,No Data,No Data,No Data,42.3,No Data,92,56.1,3.3,No Data,No Data,66.5,57.6,44.2,No Data,No Data,No Data,25.1,33.2,No Data
2015,No Data,37.7,No Data,No Data,14.6,No Data,66.3,6.6,No Data,64.3,No Data,No Data,No Data,52.5,30.2,No Data,90.6,22,No Data,No Data,83.4,54.8,54.7,No Data,No Data,10.1,No Data,23.8,No Data,80.5,94,No Data,27,76.7,36.8,63,107.9,58.3,2.7,No Data,No Data,57,61.1,41.9,No Data,No Data,No Data,No Data,39.8,No Data
2016,No Data,31.1,23.9,No Data,13.9,No Data,69.2,6,No Data,No Data,No Data,No Data,No Data,48.7,22.9,No Data,No Data,23.1,No Data,92.8,No Data,No Data,55.3,49.1,No Data,9.8,No Data,24.1,No Data,No Data,No Data,No Data,No Data,68,32.1,No Data,No Data,65.3,2.7,No Data,No Data,54.6,59.6,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2017,No Data,28.8,25.5,No Data,13.6,No Data,64.3,No Data,No Data,No Data,No Data,38,41.9,51.5,22.9,No Data,51,No Data,No Data,84,70.3,No Data,51.7,50.6,No Data,8.9,No Data,23.8,No Data,No Data,No Data,No Data,33.8,No Data,29.8,No Data,86,64.4,2.6,No Data,No Data,52.3,56.7,No Data,No Data,No Data,No Data,20.9,No Data,No Data
2018,No Data,27.7,19.2,No Data,12.5,No Data,65.4,No Data,No Data,57.4,No Data,No Data,No Data,53.3,23,No Data,No Data,No Data,No Data,No Data,64.9,No Data,No Data,No Data,No Data,No Data,No Data,24,No Data,No Data,No Data,No Data,No Data,No Data,31.1,54.9,86.1,68.3,2.5,No Data,No Data,48.3,53.9,No Data,No Data,No Data,No Data,No Data,43.8,No Data
2019,No Data,31.6,21,No Data,No Data,No Data,58.2,No Data,No Data,No Data,6.5,No Data,No Data,52.4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,5.9,No Data,23.2,No Data,No Data,No Data,No Data,No Data,No Data,28.5,No Data,No Data,No Data,2.1,No Data,No Data,47.2,55.8,No Data,No Data,No Data,No Data,No Data,No Data,No Data
