Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,No Data,No Data,No Data,8.70824,No Data,No Data,1.2935,No Data,65.10276,No Data,No Data,No Data,No Data,0.32661,No Data,No Data,399.44977,45.0344,9.58894,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,250.06011,No Data,No Data,224.7582,No Data,No Data,No Data,623.15378,No Data,163.33132,151.88145,No Data,No Data,No Data,No Data,No Data,125.2514
2001,No Data,No Data,No Data,No Data,No Data,No Data,6.60242,No Data,No Data,0.94455,No Data,63.56416,No Data,No Data,No Data,No Data,0.27764,No Data,No Data,330.87307,50.95772,9.58891,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,241.61408,No Data,No Data,290.72948,No Data,No Data,No Data,681.25535,No Data,227.35086,151.88178,No Data,No Data,No Data,No Data,No Data,98.84308
2002,No Data,No Data,No Data,No Data,No Data,No Data,6.26357,No Data,No Data,0.65991,No Data,62.0689,No Data,No Data,No Data,No Data,0.35061,No Data,No Data,260.8904,41.16065,9.5889,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,202.64319,No Data,No Data,343.07223,No Data,No Data,No Data,649.78577,No Data,180.23166,120.2537,No Data,No Data,No Data,No Data,No Data,189.01442
2003,No Data,No Data,No Data,No Data,No Data,No Data,7.12192,No Data,No Data,0.5813,No Data,60.60736,No Data,No Data,No Data,No Data,0.40677,No Data,No Data,192.06778,51.91091,9.58897,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,214.2253,No Data,No Data,283.60759,No Data,No Data,No Data,540.46707,No Data,152.38386,75.80451,No Data,No Data,No Data,No Data,No Data,214.55066
2004,No Data,No Data,No Data,No Data,No Data,No Data,5.58712,No Data,No Data,0.37904,No Data,59.17653,No Data,No Data,No Data,No Data,0.61619,No Data,No Data,127.45643,54.19605,9.58895,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,268.83075,No Data,No Data,302.3755,No Data,No Data,No Data,744.16417,No Data,114.89934,256.04713,No Data,No Data,No Data,No Data,No Data,200.38898
2005,No Data,No Data,No Data,No Data,No Data,No Data,7.91033,No Data,No Data,0.56484,No Data,57.77396,No Data,No Data,No Data,No Data,0.98784,No Data,No Data,94.82717,73.15226,9.58887,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,217.63177,No Data,No Data,115.18873,No Data,No Data,No Data,614.79779,No Data,123.7766,164.27314,No Data,No Data,No Data,No Data,No Data,122.43767
2006,No Data,No Data,No Data,No Data,No Data,No Data,4.19852,No Data,No Data,0.65582,No Data,56.40242,No Data,No Data,No Data,No Data,0.8931,No Data,No Data,77.35148,37.01957,9.72581,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,222.91339,No Data,No Data,31.82909,No Data,No Data,No Data,591.85974,No Data,44.07016,171.85199,No Data,No Data,No Data,No Data,No Data,107.02074
2007,No Data,No Data,No Data,No Data,No Data,No Data,4.09536,No Data,No Data,0.14573,No Data,55.06028,No Data,No Data,No Data,No Data,0.67612,No Data,No Data,75.47191,21.02811,8.63954,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,183.77917,No Data,No Data,14.55829,No Data,No Data,No Data,319.14509,No Data,14.62232,117.66619,No Data,No Data,No Data,No Data,No Data,124.44866
2008,No Data,No Data,No Data,No Data,No Data,No Data,2.5507,No Data,No Data,0.27996,No Data,53.74855,No Data,No Data,No Data,No Data,0.45396,No Data,No Data,88.40336,21.91306,10.39098,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,169.19182,No Data,No Data,36.5704,No Data,No Data,No Data,186.86137,No Data,27.31153,135.16078,No Data,No Data,No Data,No Data,No Data,119.14108
2009,No Data,No Data,No Data,No Data,No Data,No Data,1.17912,No Data,No Data,0.5137,No Data,52.46483,No Data,No Data,No Data,No Data,0.40094,No Data,No Data,107.59475,23.90875,9.5889,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,218.81854,No Data,No Data,35.14956,No Data,No Data,No Data,147.64818,No Data,32.34407,102.18572,No Data,No Data,No Data,No Data,No Data,64.65749
