Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,44,No Data,75,27,50,89,No Data,No Data,118,No Data,444,No Data,46,No Data,No Data,80,51,38,1210,231,437,77,136,No Data,125,No Data,59,151.39601,No Data,No Data,No Data,No Data,249,86,88,179,53,13,No Data,245,80,221,745,No Data,77,81,No Data,No Data,140
2001,No Data,44,No Data,76,19,48,88,No Data,No Data,109,No Data,437,No Data,44,No Data,No Data,75,49,36,1180,216,437,79,131,No Data,111,No Data,54,147.312655,No Data,No Data,No Data,No Data,242,86,85,173,54,13,No Data,233,75,218,720,No Data,73,78,No Data,No Data,135
2002,No Data,43,No Data,78,25,47,82,No Data,No Data,101,No Data,429,No Data,41,No Data,No Data,75,48,34,1150,227,441,78,127,No Data,105,No Data,54,156.2821,No Data,No Data,No Data,No Data,234,90,84,169,54,14,No Data,222,72,207,668,No Data,71,74,No Data,No Data,128
2003,No Data,44,No Data,79,21,45,80,No Data,No Data,96,No Data,423,No Data,41,No Data,No Data,76,48,34,1110,226,446,79,124,No Data,97,No Data,57,138.59821,No Data,No Data,No Data,No Data,225,92,80,167,54,13,No Data,210,69,189,603,No Data,69,75,No Data,No Data,123
2004,No Data,41,No Data,78,21,43,75,No Data,No Data,91,No Data,414,No Data,40,No Data,No Data,81,47,38,1050,220,513,80,121,No Data,89,No Data,54,135.00702,No Data,No Data,No Data,No Data,213,89,74,166,55,14,No Data,199,64,176,507,No Data,67,76,No Data,No Data,119
2005,No Data,40,No Data,77,19,42,70,No Data,No Data,86,No Data,404,No Data,41,No Data,No Data,83,46,33,979,223,459,80,119,No Data,75,No Data,53,131.46379,No Data,No Data,No Data,No Data,200,83,72,163,55,13,No Data,188,59,164,415,No Data,66,76,No Data,No Data,113
2006,No Data,46,No Data,78,24,41,65,No Data,No Data,82,No Data,393,No Data,38,No Data,No Data,86,44,31,912,221,467,79,117,No Data,71,No Data,55,127.141355,No Data,No Data,No Data,No Data,187,82,66,158,55,13,No Data,177,62,165,348,No Data,64,73,No Data,No Data,108
2007,No Data,48,No Data,77,16,40,61,No Data,No Data,78,No Data,382,No Data,38,No Data,No Data,90,43,31,860,208,473,79,115,No Data,71,No Data,56,123.12665,No Data,No Data,No Data,No Data,179,87,62,154,55,12,No Data,172,67,167,300,No Data,62,65,No Data,No Data,103
2008,No Data,50,No Data,77,18,39,59,No Data,No Data,75,No Data,370,No Data,40,No Data,No Data,92,42,30,827,192,484,79,115,No Data,72,No Data,53,119.49928,No Data,No Data,No Data,No Data,173,93,60,150,55,11,No Data,159,70,169,269,No Data,60,72,No Data,No Data,99
2009,No Data,45,No Data,78,19,38,57,No Data,No Data,72,No Data,356,No Data,40,No Data,No Data,95,40,30,800,185,484,79,113,No Data,71,No Data,59,116.063365,No Data,No Data,No Data,No Data,170,100,58,145,55,10,No Data,152,67,159,242,No Data,61,74,No Data,No Data,96
