Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,9.7,No Data,8,4.7,9.3,12,No Data,No Data,18.1,No Data,40.8,9.7,4.3,No Data,12.9,23.3,10.1,8,55.3,27,29.8,17,28,16.6,22.4,18.8,12.4,21.15,No Data,25.6,17.3,15.4,30.2,11.4,8.7,22.2,8.7,1.6,No Data,12.8,13.1,17.1,37.8,No Data,7.1,18,No Data,24.3,12
2001,No Data,9.5,No Data,8.2,4.4,9.3,11.6,No Data,No Data,17,No Data,40.7,9.2,4.2,No Data,13.3,23.2,10.2,8,54.2,26.4,29.5,16.5,27.4,16,20,18.9,11.3,20.8,No Data,25.3,17.8,15.1,29.6,11.6,8.4,21.8,8.7,1.5,No Data,12.7,13.1,17,36,No Data,7,17.8,No Data,24.1,11.9
2002,No Data,9.3,No Data,8.3,4.1,9.5,11.1,No Data,No Data,16,No Data,40.5,8.8,4,No Data,13.8,23.1,10.5,8,53.3,26,29.3,16.1,26.9,15.3,17.5,18.8,10.6,20.45,No Data,25.1,18.2,14.8,29.1,11.8,8.2,21.3,8.6,1.4,No Data,12.6,13.1,17,34.2,No Data,6.8,17.6,No Data,23.8,11.8
2003,No Data,8.9,No Data,8.5,3.9,9.6,10.6,No Data,No Data,15.4,No Data,40.3,8.4,3.8,No Data,14.4,23.1,11,8,52.5,25.5,29.3,15.6,26.5,14.6,15.3,18.7,10.2,20.1,No Data,25,18.6,14.5,28.7,12,8,20.6,8.6,1.3,No Data,12.5,13.1,17,32.6,No Data,6.6,17.4,No Data,23.5,11.9
2004,No Data,8.6,No Data,8.6,3.7,9.8,10,No Data,No Data,15.1,No Data,40.1,7.9,3.6,No Data,14.9,23.2,11.4,8,51.7,25.2,29.4,15.1,26.2,13.9,13.6,18.6,10.1,19.9,No Data,24.9,18.9,14.2,28.2,12.2,7.8,19.8,8.6,1.3,No Data,12.3,13,17,31,No Data,6.4,17,No Data,23,12
2005,No Data,8.2,No Data,8.7,3.6,9.9,9.4,No Data,No Data,15.1,No Data,39.7,7.5,3.4,No Data,15.6,23.4,11.6,8,50.9,24.8,29.4,14.7,26,13.3,12.1,18.5,10.2,19.85,No Data,24.7,19,14,27.9,12.3,7.8,19.1,8.6,1.2,No Data,12.1,12.9,16.8,29.5,No Data,6.2,16.6,No Data,22.3,12.1
2006,No Data,7.7,No Data,8.7,3.4,10,8.7,No Data,No Data,15.3,No Data,39.2,7.1,3.3,No Data,16.2,23.6,11.5,8,49.8,24.3,29.3,14.2,25.8,12.8,10.9,18.3,10.2,19.75,No Data,24.7,19,13.7,27.6,12.3,7.7,18.5,8.6,1.2,No Data,11.9,12.9,16.5,28.3,No Data,6,16.2,No Data,21.4,12.2
2007,No Data,7.3,No Data,8.6,3.3,10.1,8.4,No Data,No Data,15.4,No Data,38.6,6.7,3.2,No Data,17,23.8,11,8.1,48.7,23.9,29.2,13.9,25.8,12.4,9.9,18.2,10,19.7,No Data,24.7,18.8,13.4,27.3,12.4,7.7,17.9,8.6,1.2,No Data,11.7,12.9,16.1,27.2,No Data,5.8,15.7,No Data,20.2,12.3
2008,No Data,6.8,No Data,8.5,3.2,10.1,8.4,No Data,No Data,15.6,No Data,38,6.4,3.1,No Data,17.8,24,10.3,8.3,47.5,23.6,29,13.6,25.7,12.1,9,18.1,9.7,19.65,No Data,24.6,18.5,13,27,12.5,7.8,17.4,8.6,1.2,No Data,11.4,12.8,15.7,26.2,No Data,5.7,15.3,No Data,18.8,12.3
2009,No Data,6.3,No Data,8.3,3.2,10,8.7,No Data,No Data,15.5,No Data,37.3,6,3,No Data,18.7,24.1,9.7,8.6,46.2,23.2,28.7,13.2,25.6,11.8,8.3,18,9.4,19.4,No Data,24.5,18.1,12.7,26.6,12.6,7.9,16.8,8.6,1.2,No Data,11.1,12.7,15.2,25.4,No Data,5.6,14.9,No Data,17.5,12.4
