Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,95,No Data,99,97,93,91,No Data,No Data,90,No Data,70,92,95,No Data,99,78,90,97,49,88,43,93,90,99,98,39,88,79.5,No Data,44,99,96,59,70,98,82,98,98,No Data,86,98,71,No Data,No Data,95,90,No Data,82,71
2001,No Data,97,No Data,99,99,84,96,No Data,No Data,90,No Data,70,90,98,No Data,99,72,91,96,53,85,46,99,85,99,98,48,92,74,No Data,95,99,98,55,99,90,92,96,96,No Data,84,99,68,No Data,No Data,94,91,No Data,96,70
2002,No Data,98,No Data,94,98,87,89,No Data,No Data,91,No Data,89,97,99,No Data,98,82,93,98,57,91,50,99,77,97,98,80,88,82.5,No Data,80,99,99,61,74,92,92,99,94,No Data,78,99,73,54,No Data,90,96,No Data,98,70
2003,No Data,99,No Data,92,97,89,96,No Data,No Data,92,No Data,80,96,72,No Data,99,79,94,97,60,90,53,96,70,99,98,68,99,85.5,No Data,80,95,99,68,90,90,94,99,96,No Data,84,99,75,55,No Data,98,91,No Data,93,69
2004,No Data,97,No Data,93,98,93,97,No Data,No Data,93,No Data,76,99,88,No Data,99,79,95,83,64,91,57,98,62,96,96,64,98,74,No Data,80,99,98,62,91,63,96,99,95,No Data,90,99,85,57,No Data,99,94,No Data,98,69
2005,No Data,99,No Data,93,98,92,96,No Data,No Data,95,No Data,68,99,89,No Data,98,87,96,99,68,93,60,99,79,99,98,77,97,89.5,No Data,80,85,98,72,95,59,97,99,96,No Data,89,99,83,55,No Data,99,95,No Data,93,68
2006,No Data,99,No Data,95,98,84,98,No Data,No Data,96,No Data,69,99,89,No Data,95,89,98,91,71,93,62,95,86,99,98,74,97,72,No Data,72,99,98,70,85,50,97,99,95,No Data,99,99,84,63,No Data,99,92,No Data,97,68
2007,No Data,99,No Data,95,97,93,96,No Data,No Data,98,No Data,75,99,93,No Data,96,85,99,96,74,94,64,92,94,99,98,93,97,84,No Data,99,99,94,66,99,65,97,99,97,No Data,88,99,84,70,No Data,99,88,No Data,97,70
2008,No Data,99,No Data,93,97,85,94,No Data,No Data,99,No Data,81,99,95,No Data,96,82,99,99,77,93,64,91,82,99,98,95,99,86,No Data,99,99,92,56,96,39,99,99,97,No Data,85,99,85,79,No Data,99,90,No Data,99,73
2009,No Data,99,No Data,96,98,93,97,No Data,No Data,99,No Data,83,82,96,No Data,99,82,99,99,80,98,65,90,86,98,98,96,99,90,No Data,99,99,49,64,95,64,98,99,97,No Data,86,99,87,72,No Data,99,90,No Data,88,75
2010,No Data,98,No Data,99,99,86,96,No Data,No Data,99,No Data,74,99,96,No Data,98,88,99,97,83,95,67,94,91,96,96,94,99,87,No Data,99,99,69,55,97,78,98,99,96,No Data,83,99,94,72,No Data,99,90,No Data,89,77
