Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,No Data,92,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99,No Data,6,No Data,36.5,No Data,No Data,99,75,No Data,89,No Data,No Data,No Data,98,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2001,No Data,No Data,No Data,No Data,99,12,No Data,No Data,No Data,No Data,No Data,No Data,50,No Data,No Data,62,No Data,No Data,No Data,No Data,88,No Data,96,No Data,99,No Data,6,No Data,47.5,No Data,95,99,83,No Data,73,No Data,No Data,98,96,No Data,No Data,99,No Data,No Data,No Data,No Data,80,No Data,99,No Data
2002,No Data,No Data,No Data,No Data,97,41,No Data,No Data,No Data,No Data,No Data,No Data,61,No Data,No Data,99,No Data,No Data,74,No Data,80,No Data,96,No Data,99,No Data,70,No Data,56,No Data,83,90,90,No Data,71,84,No Data,99,96,No Data,No Data,99,No Data,No Data,No Data,No Data,77,No Data,97,No Data
2003,No Data,No Data,No Data,No Data,99,71,No Data,No Data,No Data,No Data,No Data,No Data,88,No Data,No Data,99,No Data,No Data,68,No Data,71,No Data,95,No Data,98,No Data,90,No Data,60,No Data,72,86,94,No Data,69,65,No Data,99,96,No Data,No Data,86,No Data,No Data,No Data,96,73,No Data,93,No Data
2004,No Data,No Data,No Data,95,99,99,No Data,No Data,No Data,No Data,No Data,No Data,86,No Data,No Data,99,No Data,No Data,61,No Data,63,No Data,95,No Data,98,No Data,92,80,65.5,No Data,60,99,98,No Data,67,45,No Data,99,96,No Data,No Data,73,No Data,No Data,No Data,99,78,No Data,90,No Data
2005,No Data,46,No Data,88,99,98,87,No Data,No Data,No Data,No Data,No Data,97,53,No Data,99,No Data,74,81,No Data,72,No Data,91,No Data,97,No Data,71,78,69,No Data,50,70,95,No Data,56,26,No Data,99,95,No Data,No Data,93,No Data,No Data,No Data,98,84,No Data,86,No Data
2006,No Data,68,No Data,88,99,94,92,No Data,No Data,No Data,No Data,No Data,99,97,No Data,99,No Data,94,87,No Data,74,No Data,88,No Data,96,No Data,60,85,70,No Data,97,99,98,No Data,45,6,No Data,99,96,No Data,No Data,88,No Data,No Data,No Data,99,78,No Data,83,No Data
2007,No Data,78,No Data,84,99,96,89,No Data,No Data,No Data,No Data,No Data,98,99,No Data,95,No Data,94,86,No Data,90,No Data,84,No Data,95,56,91,80,74.5,No Data,99,99,83,No Data,33,36,No Data,99,96,No Data,No Data,83,No Data,No Data,No Data,99,87,No Data,74,No Data
2008,No Data,83,No Data,80,97,97,90,No Data,No Data,No Data,No Data,No Data,95,98,No Data,95,No Data,94,86,No Data,84,No Data,80,No Data,94,76,79,83,69,No Data,99,99,77,No Data,22,46,No Data,98,96,No Data,No Data,94,No Data,No Data,No Data,98,81,No Data,82,No Data
2009,No Data,94,No Data,76,99,97,92,No Data,No Data,No Data,No Data,No Data,61,95,No Data,95,No Data,94,78,No Data,84,No Data,78,35,99,96,66,85,72.5,No Data,92,99,79,No Data,63,14,No Data,99,95,No Data,No Data,94,No Data,No Data,No Data,98,80,No Data,84,No Data
2010,No Data,92,No Data,78,98,96,91,No Data,No Data,No Data,No Data,No Data,98,98,No Data,95,No Data,94,86,No Data,82,No Data,56,21,99,96,90,90,68,No Data,99,99,39,No Data,74,30,No Data,98,96,No Data,No Data,89,No Data,No Data,No Data,98,82,No Data,87,No Data
2011,No Data,89,No Data,79,98,94,98,No Data,No Data,99,No Data,No Data,96,95,No Data,94,No Data,94,85,No Data,84,No Data,60,61,99,96,74,89,73,No Data,99,98,83,No Data,72,50,No Data,99,96,No Data,No Data,91,No Data,No Data,No Data,99,83,No Data,90,No Data
2012,No Data,90,No Data,73,99,90,93,No Data,No Data,94,No Data,No Data,98,96,No Data,94,No Data,94,75,No Data,90,No Data,76,9,90,99,58,90,58.5,No Data,81,98,86,No Data,80,52,No Data,99,95,No Data,No Data,92,No Data,No Data,No Data,95,85,No Data,93,No Data
2013,No Data,87,No Data,69,99,89,92,No Data,No Data,89,No Data,No Data,95,97,No Data,91,No Data,94,85,No Data,95,No Data,71,84,94,99,56,85,75.5,No Data,88,99,98,No Data,62,72,No Data,97,90,No Data,No Data,96,33,No Data,No Data,99,86,No Data,84,No Data
