Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2008,No Data,No Data,No Data,No Data,14,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2009,No Data,No Data,No Data,3,96,75,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,49,No Data,11,No Data,No Data,99,18,No Data,No Data,No Data,No Data,No Data,17,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2010,No Data,No Data,No Data,1,99,78,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,24,No Data,49.5,No Data,No Data,99,45,No Data,No Data,No Data,No Data,No Data,22,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2011,No Data,No Data,No Data,1,99,81,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,50,No Data,No Data,No Data,No Data,No Data,35,No Data,46.5,No Data,No Data,99,61,No Data,No Data,No Data,No Data,No Data,40,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2012,No Data,No Data,No Data,37,99,84,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,90,No Data,No Data,No Data,No Data,No Data,46,No Data,45.5,No Data,No Data,99,82,No Data,No Data,No Data,No Data,No Data,52,No Data,No Data,No Data,No Data,No Data,No Data,No Data,39,No Data,No Data,No Data
2013,No Data,No Data,No Data,97,99,87,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,87,No Data,No Data,96,No Data,No Data,40,No Data,No Data,38,No Data,53.5,No Data,No Data,99,93,No Data,No Data,No Data,97,No Data,60,No Data,No Data,No Data,No Data,No Data,No Data,No Data,80,No Data,No Data,No Data
2014,No Data,No Data,No Data,96,98,90,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,99,No Data,No Data,97,No Data,No Data,57,No Data,No Data,29,No Data,58.5,No Data,No Data,99,93,No Data,No Data,No Data,95,No Data,68,No Data,No Data,No Data,No Data,No Data,No Data,No Data,95,No Data,No Data,No Data
2015,No Data,No Data,No Data,95,98,97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,22,99,No Data,10,94,No Data,No Data,74,No Data,No Data,75,No Data,68.5,No Data,No Data,99,95,20,No Data,No Data,96,No Data,75,No Data,42,No Data,No Data,No Data,No Data,No Data,93,No Data,No Data,No Data
2016,No Data,No Data,No Data,94,99,96,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,30,99,No Data,83,92,No Data,No Data,79,No Data,No Data,65,10,66,No Data,No Data,99,98,20,No Data,No Data,96,No Data,78,No Data,87,No Data,No Data,No Data,No Data,No Data,91,No Data,No Data,No Data
2017,No Data,No Data,No Data,93,97,89,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,64,99,No Data,79,97,No Data,No Data,91,No Data,No Data,72,84,70,No Data,No Data,99,89,36,No Data,No Data,95,No Data,83,No Data,81,No Data,No Data,No Data,No Data,No Data,93,No Data,No Data,No Data
2018,No Data,No Data,No Data,90,98,89,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,99,No Data,82,91,12,No Data,94,No Data,No Data,67,96,71.5,No Data,No Data,99,82,35,No Data,No Data,95,16,82,No Data,84,No Data,No Data,No Data,No Data,No Data,99,No Data,No Data,No Data
2019,No Data,No Data,No Data,89,97,93,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,99,No Data,78,98,42,No Data,97,No Data,No Data,63,97,76,No Data,No Data,99,74,35,No Data,No Data,95,92,82,No Data,94,No Data,No Data,No Data,No Data,No Data,93,No Data,No Data,No Data
2020,No Data,No Data,No Data,83,99,86,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,69,99,No Data,74,89,51,No Data,91,No Data,No Data,No Data,86,78.5,No Data,No Data,No Data,75,39,No Data,No Data,No Data,94,No Data,No Data,93,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
