Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,0.01366,No Data,No Data,No Data,No Data,No Data,2.49545,No Data,No Data,0.25312,No Data,0.89765,No Data,4.34788,No Data,No Data,3.57024,2.38519,No Data,0.5002,0.40184,16.10732,0.32954,0.09847,No Data,0.25451,No Data,0.09859,0.09847,No Data,No Data,No Data,No Data,117.88788,No Data,No Data,0.22148,No Data,No Data,No Data,7.55401,No Data,No Data,2.34629,No Data,0.00095,No Data,No Data,No Data,0.54118
2001,0.28133,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,4.68074,No Data,1.35387,No Data,3.85651,No Data,No Data,3.34802,0.61884,No Data,5.53109,5.20955,10.13588,0.40336,No Data,No Data,0.20638,No Data,0.04486,No Data,No Data,No Data,No Data,No Data,1.04914,No Data,No Data,0.48174,No Data,No Data,No Data,1.83852,0.10153,No Data,6.29325,No Data,No Data,0.00295,No Data,6.12839,0.32724
2002,0.033,0.25623,No Data,No Data,0.00428,No Data,0.16045,No Data,No Data,0.33155,No Data,2.89833,0.32821,2.56139,No Data,No Data,7.51115,6.32545,No Data,2.34425,0.06301,2.56461,0.06078,0.11328,1.86148,0.18363,No Data,0.0453,0.11328,No Data,No Data,0.21203,No Data,66.89829,No Data,0.21649,0.24202,No Data,No Data,No Data,0.32223,No Data,0.04611,1.09225,No Data,No Data,0.00564,No Data,4.58761,0.36097
2003,No Data,No Data,No Data,No Data,No Data,No Data,0.03175,No Data,No Data,0.23127,No Data,3.58808,0.94574,3.54907,No Data,No Data,12.50036,4.41744,0.06981,1.35011,0.77053,4.62438,0.07614,No Data,0.02584,0.14593,2.51473,0.03051,6.86952,No Data,No Data,0.00048,0.98008,51.19262,0.05162,0.70157,0.19807,No Data,No Data,No Data,0.24651,No Data,0.33687,2.38694,0.24434,0.20544,0.00412,No Data,1.70229,0.90859
2004,No Data,No Data,No Data,No Data,No Data,0.00507,0.00326,No Data,No Data,1.66605,No Data,2.32922,0.45736,1.9203,No Data,No Data,3.64915,4.47151,0.03632,3.3146,7.58331,14.56452,0.23951,No Data,No Data,0.35437,0.1129,0.02107,0.546435,No Data,No Data,0.12649,0.92288,44.33202,0.08534,0.29579,0.21324,0.80246,No Data,No Data,0.80777,0.00507,0.01024,3.32128,No Data,0.45289,0.08014,0.09258,No Data,0.71882
2005,No Data,No Data,No Data,No Data,No Data,No Data,0.05439,No Data,No Data,0.99841,No Data,0.88274,0.00299,2.52062,No Data,No Data,13.12373,4.06307,0.00637,3.83409,2.78894,8.46473,0.7151,2.02594,No Data,0.5298,0.23992,0.02067,1.78085,No Data,0.22644,5.31487,0.95462,37.56393,0.09344,0.21225,2.13371,0.78728,No Data,No Data,1.31785,0.09814,2.8816,8.03275,No Data,7.36654,0.06211,0.1977,0.00299,0.77958
2006,No Data,No Data,No Data,No Data,No Data,0.00849,0.05524,No Data,No Data,0.47507,No Data,0.77251,0.04806,2.50747,No Data,0.04213,9.23937,0.70999,0.08364,3.16902,1.41281,22.54017,3.39252,1.1795,No Data,0.07347,0.11311,0.23399,1.22625,No Data,0.18877,0.94122,0.81761,25.31952,0.29272,0.09197,2.78041,No Data,No Data,No Data,0.15772,0.2762,0.95633,18.68339,No Data,2.08041,0.08231,No Data,No Data,0.51041
2007,No Data,No Data,No Data,No Data,No Data,No Data,0.01332,No Data,No Data,0.15451,No Data,0.57887,0.08295,2.01025,No Data,0.04903,3.88124,0.32918,0.25529,6.09279,1.58963,18.64725,3.47414,0.81386,No Data,0.21465,0.0951,No Data,0.87925,No Data,0.68249,0.39501,0.02467,33.97786,0.11998,0.26658,2.15957,0.00529,No Data,No Data,1.08977,0.25528,1.59142,12.33946,No Data,0.10853,0.0029,No Data,No Data,0.98947
2008,No Data,No Data,No Data,No Data,No Data,No Data,0.00791,No Data,No Data,0.31457,No Data,0.63455,0.07503,4.87364,No Data,0.01141,5.88476,1.24913,0.14992,6.05292,1.33144,29.66411,2.17367,0.16323,No Data,0.41309,0.12306,No Data,0.666365,0.18457,0.15698,0.47692,0.78683,38.29036,0.16534,0.86302,4.8679,No Data,No Data,No Data,15.92973,0.23639,2.66275,10.18573,No Data,0.14996,No Data,No Data,No Data,3.25056
2009,No Data,No Data,No Data,No Data,No Data,0.03253,0.01102,No Data,No Data,0.60034,No Data,1.62685,0.00019,3.07778,No Data,0.0298,6.43203,1.19098,0.13281,5.62609,3.40796,14.01404,1.51206,1.57686,0.02612,0.15244,0.0908,No Data,1.320615,0.44461,No Data,0.25622,0.83369,54.64945,0.12728,0.70593,2.45055,No Data,No Data,No Data,17.58824,0.29667,5.06668,10.04482,No Data,0.0891,0.02812,No Data,No Data,5.23394
2010,No Data,No Data,No Data,No Data,No Data,0.00984,0.84902,No Data,No Data,1.56844,No Data,8.32507,0.05691,4.718,No Data,0.00984,11.22418,3.96128,No Data,20.97367,4.98861,16.07875,1.48755,0.25622,No Data,0.26814,0.11637,No Data,0.565435,No Data,No Data,0.20267,0.26568,26.14069,No Data,4.26506,3.45074,No Data,No Data,No Data,9.04829,No Data,5.81638,8.31389,No Data,2.12495,0.05495,No Data,0.19186,3.88971
2011,No Data,No Data,No Data,No Data,No Data,No Data,0.57805,No Data,No Data,3.41632,No Data,4.48446,0.09265,3.6686,No Data,0.06174,7.84364,3.34475,No Data,6.45311,2.45571,76.51281,0.74646,0.2675,No Data,0.73049,0.34405,0.22629,0.537565,0.17316,0.01579,0.0325,0.05092,42.8645,0.19888,1.69777,5.45247,0.10397,No Data,No Data,5.67525,No Data,1.92067,3.37028,0.0223,11.55807,No Data,No Data,0.20014,6.31895
2012,No Data,No Data,No Data,No Data,No Data,No Data,0.51682,No Data,No Data,5.67491,No Data,10.40769,0.05582,2.07862,No Data,No Data,9.85742,9.66883,No Data,15.62399,2.85526,56.42525,0.49561,1.71693,No Data,0.46266,0.21686,0.07894,1.27699,No Data,0.18725,0.01396,0.04747,40.72852,0.04414,2.3477,2.90803,0.1984,No Data,No Data,5.1247,0.51174,1.29369,14.35167,No Data,4.19359,No Data,No Data,0.10031,5.24394
2013,0.00141,No Data,No Data,No Data,No Data,No Data,0.71844,No Data,No Data,3.42777,No Data,7.38855,0.12639,1.83286,No Data,0.09398,6.35929,9.63364,0.02573,36.21625,1.7919,64.70424,0.14931,1.0438,No Data,0.36783,0.35405,0.34032,1.513825,0.21379,0.21398,0.16799,0.22579,37.67806,0.07005,6.88337,5.77443,0.2572,No Data,No Data,23.8721,0.16668,1.32048,7.28903,0.01346,0.68463,No Data,No Data,0.18494,8.10894
2014,No Data,No Data,No Data,No Data,No Data,No Data,1.26629,No Data,No Data,1.85695,No Data,4.3975,0.05333,3.13074,No Data,No Data,6.09763,9.62406,No Data,11.51362,1.18751,44.45595,0.07505,0.8041,No Data,0.56102,0.17172,0.08858,0.97029,0.85548,0.08379,0.0139,0.02603,24.01402,0.49995,0.91874,5.12197,0.16208,No Data,No Data,4.80421,0.20163,0.72472,11.77826,0.01535,0.6313,No Data,No Data,0.11416,5.16052
2015,No Data,0.0041,No Data,No Data,No Data,No Data,3.42277,No Data,No Data,2.68544,No Data,2.4274,0.18149,2.14373,No Data,0.09751,3.99297,15.01624,0.01832,19.88242,1.92456,61.28099,0.18868,1.08981,No Data,1.12609,0.2287,0.18888,5.000495,No Data,7.70783,0.0291,0.16986,66.65404,0.2056,5.3865,3.94992,0.16174,No Data,No Data,17.6511,0.22648,1.88819,14.6075,0.02073,1.76881,No Data,No Data,0.40227,5.78703
2016,No Data,No Data,No Data,No Data,No Data,No Data,3.34715,No Data,No Data,0.53475,No Data,6.99426,0.09343,1.40097,No Data,No Data,2.72622,6.49761,0.00505,21.95263,2.3574,106.61655,0.10861,1.06742,No Data,0.5897,0.1499,0.37668,1.29404,No Data,0.50298,0.01044,0.06075,25.04557,1.22523,1.52488,5.36526,3.44726,No Data,No Data,16.33501,0.04293,0.6509,16.25403,0.02936,4.97808,No Data,No Data,0.71244,2.05785
2017,No Data,0.04414,No Data,No Data,No Data,No Data,2.15551,No Data,No Data,1.73043,No Data,2.48868,0.08603,0.7639,No Data,0.03555,4.42574,5.24055,0.02058,23.51996,3.76046,101.88724,2.83842,2.54433,No Data,0.65285,0.21028,1.16228,2.20799,No Data,0.43417,0.0498,0.08638,45.21088,0.57813,4.16967,6.56566,0.01858,No Data,No Data,4.5304,0.00476,2.9166,12.34522,0.03035,3.8226,No Data,No Data,0.10421,4.10772
2018,No Data,0.00134,No Data,No Data,No Data,No Data,4.44508,No Data,No Data,4.9144,No Data,6.99121,0.21676,1.27838,No Data,0.00067,3.79328,7.36919,No Data,25.48475,2.75253,71.85107,2.05071,1.45536,No Data,3.01926,0.23161,0.93335,1.46247,No Data,0.39423,0.01535,0.09089,51.4021,0.39064,3.60035,2.94856,No Data,No Data,No Data,6.8483,0.37448,1.76162,11.21763,0.02255,2.62658,No Data,No Data,0.01189,4.5931
2019,No Data,0.00302,No Data,No Data,No Data,No Data,1.89939,No Data,No Data,1.62395,No Data,3.72537,0.19402,1.11405,No Data,No Data,4.19311,4.02277,0.23372,22.67503,1.85419,71.99076,2.15496,1.6903,No Data,2.13504,0.29128,0.58519,1.68497,3.85375,0.24812,0.04387,0.15389,115.95294,0.8084,5.09356,2.21752,No Data,No Data,No Data,6.76027,0.35837,1.6606,19.59682,0.02397,1.76854,No Data,No Data,0.20871,4.38033
2020,No Data,0.0399,No Data,No Data,No Data,No Data,1.47355,No Data,No Data,5.42486,No Data,15.27117,No Data,10.96103,No Data,0.96585,9.1357,12.31,1.04226,30.37879,1.56625,71.25778,4.41308,7.03789,No Data,37.5541,7.18725,1.37585,18.497055,5.2924,0.23494,0.56004,8.21945,111.32894,4.83362,10.47678,4.18182,No Data,No Data,No Data,19.38555,1.18162,4.34472,38.80871,0.53187,6.59242,No Data,No Data,0.9672,10.4232
