Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2010,No Data,No Data,No Data,No Data,No Data,0.00984,0.84902,No Data,No Data,1.15988,No Data,8.32471,0.05691,4.718,No Data,0.00984,9.94606,3.96128,No Data,20.97176,4.98861,15.31824,1.32011,0.25622,No Data,0.26814,-0.08918,No Data,0.46266,-0.01278,No Data,0.20267,0.26568,24.32798,No Data,4.26506,3.45061,No Data,No Data,No Data,9.03622,No Data,5.81638,8.31389,No Data,2.12495,0.05495,No Data,0.19186,3.88971
2011,No Data,No Data,No Data,No Data,No Data,No Data,0.57805,No Data,No Data,3.03126,No Data,4.48446,0.09265,3.6685,No Data,0.06174,6.60609,3.34475,No Data,6.44002,2.45262,76.45561,0.58722,0.2675,No Data,0.73049,0.27328,0.22629,0.50218,0.17316,0.01579,0.0325,0.05092,41.71495,0.19888,1.69777,5.45217,0.10397,No Data,No Data,5.65114,No Data,1.66207,3.31778,0.0223,11.55807,No Data,No Data,0.20013,6.31895
2012,No Data,No Data,No Data,No Data,No Data,No Data,0.51682,No Data,No Data,5.28091,No Data,10.15766,0.05582,2.04844,No Data,No Data,9.20919,9.66883,-0.0084,15.60171,2.85526,56.41476,0.49561,1.71693,No Data,0.46266,0.21687,0.07894,1.27699,No Data,0.18725,0.01396,0.04747,40.16367,0.04414,2.3477,2.90772,0.1984,No Data,No Data,5.10067,0.51174,1.29369,13.67003,No Data,4.19359,No Data,No Data,0.10031,5.24394
2013,0.00141,No Data,No Data,No Data,No Data,No Data,0.71844,No Data,No Data,3.42777,No Data,7.37364,0.12639,1.83286,No Data,0.09398,4.96689,9.63364,0.00909,35.63548,0.81035,64.70424,0.14931,1.04097,No Data,0.36783,0.35404,0.34033,1.51241,0.21379,0.21398,0.16799,0.22579,37.67791,0.07004,6.88303,5.77443,0.2572,No Data,No Data,23.8484,0.16668,1.32048,7.27552,0.01346,0.68463,No Data,No Data,0.18494,8.10895
2014,No Data,No Data,No Data,No Data,No Data,No Data,1.26629,No Data,No Data,1.48412,No Data,4.3825,0.05333,3.13074,No Data,No Data,5.67197,9.62397,-0.01656,11.50149,1.04825,44.30275,0.07505,0.8041,No Data,0.56102,0.17172,0.08858,0.97029,0.85548,0.08379,0.0139,0.02603,24.01402,0.49634,0.91874,5.10045,0.16208,No Data,No Data,4.77591,0.1951,0.72471,11.5212,0.01535,0.6313,No Data,No Data,0.11416,5.16053
2015,No Data,0.0041,No Data,No Data,No Data,No Data,3.42277,No Data,No Data,2.27173,No Data,2.40856,0.18149,2.14373,No Data,0.09751,2.54201,15.01624,0.00141,19.52952,1.74627,61.03316,0.18868,1.08981,No Data,1.10762,-0.11988,0.18887,4.8262,No Data,7.70783,0.0291,0.16986,62.43706,0.19826,5.38649,3.90468,0.16174,No Data,No Data,17.62653,0.21311,1.88819,14.6075,0.02073,1.76881,No Data,No Data,0.40226,5.78703
2016,No Data,No Data,No Data,No Data,No Data,No Data,3.34715,No Data,No Data,0.51279,No Data,6.97469,0.09343,1.40069,No Data,No Data,1.3028,6.49761,-0.0119,21.68524,2.09292,105.00132,0.10861,1.06742,No Data,0.57154,-0.0975,0.37668,1.13031,No Data,0.50298,0.01044,0.06075,21.11177,1.21796,1.52488,5.31974,3.20533,No Data,No Data,16.00126,0.02955,0.56061,16.25403,0.02936,4.97808,No Data,No Data,0.71244,2.03691
2017,No Data,0.04414,No Data,No Data,No Data,No Data,2.15551,No Data,No Data,1.69014,No Data,2.4739,0.08603,0.76389,No Data,0.03555,3.17473,5.24055,-0.5905,23.13642,3.55821,99.19601,2.83842,2.54272,No Data,0.63458,0.21028,1.16064,2.171515,No Data,0.43417,0.0498,0.08638,44.82977,0.57108,4.16967,6.51218,0.01858,No Data,No Data,4.41332,-0.00818,2.9093,12.31116,0.02881,3.82259,No Data,No Data,0.10421,4.10705
2018,No Data,0.00134,No Data,No Data,No Data,No Data,4.44508,No Data,No Data,4.89513,No Data,6.77995,0.21676,-0.23375,No Data,0.00067,2.80915,7.36919,-0.01635,25.08778,2.53177,70.48133,2.03167,1.45536,No Data,2.43734,0.23161,0.93334,1.427405,No Data,0.39423,0.01535,0.09089,49.94722,0.38365,3.57843,2.90382,No Data,No Data,No Data,6.7211,0.3617,1.76162,11.21604,0.02255,2.62658,No Data,No Data,0.01189,4.5931
2019,No Data,0.00302,No Data,No Data,No Data,No Data,1.89939,No Data,No Data,1.62229,No Data,3.63567,0.19402,0.08634,No Data,No Data,3.18782,3.95129,0.21759,22.19626,1.60252,71.63193,1.87098,1.68487,No Data,0.3294,0.29128,0.58519,1.64704,3.85375,0.24811,0.04387,0.15389,114.03933,0.80142,5.04875,1.63854,No Data,No Data,No Data,6.63655,0.34572,1.6606,19.55392,0.02396,1.76854,No Data,No Data,0.20871,4.38033
