Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,23,6.1,8.1,32,36,1.3,49,No Data,5.7,82,14,39,6.4,12,No Data,4.5,78,22,No Data,305,71,270,6,373,No Data,59,84,17,106,No Data,45,No Data,64,432,6.6,28,119,28,49,No Data,91,17,24,No Data,No Data,28,18,16,196,110
2001,22,1.5,8.7,24,31,2.5,61,No Data,5.6,83,2.6,38,13,9.5,No Data,5.6,69,28,0.55,317,71,274,5.7,275,5.2,61,136,13,121,No Data,34,No Data,64,432,11,14,117,27,43,No Data,86,11,20,No Data,No Data,14,19,16,194,123
2002,22,5.9,9.4,16,30,2.1,59,No Data,5.4,55,No Data,37,6.3,9.2,No Data,3.3,58,23,1.1,330,99,277,4.9,281,7.6,53,122,14,148,No Data,57,256,64,432,12,20,112,40,42,No Data,73,11,25,498,5.6,34,12,15,156,69
2003,22,1.4,10,14,39,3.7,42,5,5.3,88,No Data,37,No Data,8.6,No Data,8.4,68,28,2.2,342,106,277,5.5,400,2.5,57,140,14,124,25,35,No Data,52,432,11,17,125,13,44,No Data,82,15,27,498,No Data,18,13,28,367,69
2004,22,5.4,11,19,34,7.9,35,10,10,80,2.4,36,6.1,8,No Data,10,63,20,2.2,353,101,276,5.3,428,5,48,268,14,138,No Data,76,No Data,29,432,11,22,138,24,39,No Data,93,8.5,25,498,8.5,14,16,26,186,86
2005,22,8.5,11,17,36,4.1,41,7.5,No Data,79,0.99,36,6,7.9,No Data,12,69,20,1.7,361,107,272,4.1,450,No Data,48,251,13,115,24,128,No Data,58,432,9.9,15,151,18,37,No Data,106,7.4,29,498,No Data,21,15,27,138,83
2006,22,5.6,11,21,33,2.1,34,5.2,No Data,70,No Data,36,6,7.8,No Data,31,62,17,1.1,361,119,266,4.3,501,2.4,38,312,12,123,No Data,140,No Data,71,432,10,16,166,23,35,No Data,96,14,32,498,No Data,20,20,27,102,80
2007,22,2.7,12,16,33,6.6,24,4.5,No Data,72,2.2,35,6.8,7.8,No Data,4.9,56,14,3.3,361,99,257,4.7,433,9.6,47,352,11,168,47,35,No Data,66,432,13,13,98,22,34,No Data,101,13,31,498,No Data,26,19,26,203,77
2008,22,1.3,12,16,31,1.2,33,3.6,1.4,87,2.1,34,12,8.4,No Data,21,57,16,5.5,361,109,248,4.7,424,12,44,278,11,198,31,58,No Data,93,432,14,7.5,70,7.6,38,No Data,96,13,26,498,No Data,14,24,25,190,74
2009,21,4,12,15,32,0.82,32,2.8,2.8,85,4.2,33,12,7.3,No Data,6.5,56,21,5.4,361,128,238,6.2,344,9.5,35,313,12,180,16,46,No Data,119,432,6.7,10,78,19,35,No Data,89,9.6,43,498,No Data,8.9,24,24,199,72
2010,21,9.1,6.8,10,23,2.4,52,1.8,4.1,90,8.1,33,No Data,8.5,3.9,13,51,27,4.3,361,119,229,5.8,347,4.7,32,428,12,199,No Data,34,No Data,122,432,5.9,8.7,117,21,35,10,80,16,46,498,No Data,12,19,21,153,69
2011,21,7.7,9,13,20,No Data,26,1.8,No Data,95,4,34,6.3,8.2,0.76,3.2,55,31,2.2,361,118,220,4.6,409,2.3,29,307,11,179,No Data,57,71,78,432,4.6,12,129,26,36,6.6,92,18,29,498,No Data,10,19,31,130,67
2012,21,3.8,31,10,20,1.6,29,5.3,No Data,104,12,34,6.4,7.5,0.74,11,54,30,1.1,361,124,213,4,407,4.6,35,320,13,172,No Data,70,No Data,26,432,7.2,13,107,25,49,3.2,81,32,30,498,No Data,12,23,27,203,65
2013,21,13,12,10,18,1.6,40,No Data,4,74,9.6,34,13,7.7,1.5,4.9,55,37,0.54,361,112,206,4.2,472,No Data,34,327,13,180,No Data,80,No Data,52,432,5.8,13,134,30,46,6.1,79,3.2,32,498,No Data,11,21,6.6,191,62
2014,23,3.7,2.2,16,16,2,23,No Data,No Data,66,No Data,35,13,7.4,3.6,1.6,54,55,No Data,361,89,200,3.7,473,16,36,310,13,219,No Data,89,No Data,91,432,3.9,14,141,16,45,No Data,73,5.3,33,498,No Data,15,21,3.3,157,63
2015,21,4.2,9.9,19,15,No Data,25,No Data,No Data,64,13,35,No Data,7.1,5.8,11,55,52,5.2,361,93,194,4.5,559,4.7,42,300,13,119,No Data,111,No Data,91,432,9,11,156,9.7,45,5.8,86,7.4,32,498,200,16,16,6.4,207,63
2016,22,3.7,15,27,12,1.2,37,3.6,No Data,58,5.5,35,13,6.9,2.9,8.1,51,45,6.3,361,94,188,4.4,575,No Data,44,388,12,169,No Data,110,29,149,432,1.9,7.7,162,14,50,No Data,81,6.3,25,498,No Data,9.1,18,6.3,205,56
2017,22,1.2,8.7,15,12,No Data,36,3.6,1.9,58,7.3,35,No Data,7.2,6.4,1.6,46,51,3.1,361,84,181,5.2,422,2.2,34,439,12,156,No Data,98,No Data,129,432,7,18,117,19,47,14,73,2.1,28,498,No Data,12,17,12,233,51
2018,22,6,5.4,14,11,0.4,30,3.7,3.9,46,5.4,35,No Data,7.2,6.4,6.4,45,54,2.1,361,83,176,3.5,349,No Data,33,918,13,108,No Data,54,143,109,432,3.2,6.4,124,18,47,19,74,6.3,38,498,28,10,21,6.1,270,46
2019,22,No Data,2.2,15,12,No Data,27,3.7,3.9,46,7.1,35,13,6.5,7.2,16,42,66,3.1,361,79,170,3.2,436,4.4,36,483,12,100,No Data,182,No Data,38,432,3.8,11,114,16,41,14,66,4.2,29,498,30,11,18,12,296,41
