Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,15.5,No Data,16.3,12.5,15.1,23.6,No Data,No Data,38.1,No Data,100.6,18,8.8,No Data,16.9,40,22.4,15.5,173.8,46.4,103.9,22.2,68.1,23.8,39,42,18.8,42.9,No Data,42.6,32.1,28.5,71.1,18.4,21.2,82,13.8,3.9,No Data,30.7,22.2,31.2,107.7,No Data,16.9,27.9,No Data,42.1,28.5
2001,No Data,15.1,No Data,16.4,12,15.3,22.8,No Data,No Data,34.4,No Data,100.2,17.2,8.5,No Data,17.3,39,22.3,15.2,168.4,45.2,100.5,21.6,66.6,22.7,34.6,42.1,17.5,41.95,No Data,41.3,33,27.9,69.9,18.3,20.6,76.5,13.7,3.6,No Data,30.4,22,30.1,102.1,No Data,16.5,27.7,No Data,41.2,28.3
2002,No Data,14.6,No Data,16.5,11.6,15.5,22.2,No Data,No Data,31.6,No Data,100.1,16.4,8.2,No Data,17.8,38.1,22.4,15,162.8,44.2,97.3,21.1,65.5,21.6,30.7,41.9,16.6,41.25,No Data,40.2,33.9,27.4,68.8,18.2,20.1,71,13.7,3.4,No Data,30.1,21.9,29.1,96.5,No Data,16,27.4,No Data,40.3,28.1
2003,No Data,14.1,No Data,16.7,11.3,15.7,21.7,No Data,No Data,29.8,No Data,99.6,15.6,7.9,No Data,18.4,37.4,22.5,14.8,156.8,43.2,94.4,20.7,64.8,20.6,27.1,41.7,16,40.7,No Data,39.4,34.7,27,67.5,18.3,19.7,65.6,13.7,3.2,No Data,29.8,21.7,28.2,91.2,No Data,15.6,27,No Data,39.5,28.1
2004,No Data,13.5,No Data,16.8,11,15.7,21.3,No Data,No Data,28.6,No Data,98.5,14.8,7.6,No Data,19,36.9,22.8,14.7,150.7,42.2,91.8,20.3,64.6,19.8,26.9,41.3,15.8,40.45,No Data,38.8,35.4,26.5,66.2,18.3,19.4,60.4,13.7,3,No Data,29.6,21.6,27.3,86,No Data,15.1,26.4,No Data,38.7,28.1
2005,No Data,12.9,No Data,16.8,10.6,15.7,20.9,No Data,No Data,28.1,No Data,96.7,14.1,7.4,No Data,19.7,36.4,23.1,14.6,144.5,41.4,89.4,19.9,64.7,19.1,21.5,41,15.6,40.5,No Data,38.5,35.7,26,64.9,18.4,19.3,55.5,13.7,2.9,No Data,29.3,21.5,26.5,80.9,No Data,14.7,25.9,No Data,37.7,28.2
2006,No Data,12.3,No Data,16.7,10.2,15.6,20.6,No Data,No Data,27.9,No Data,94.4,13.3,7.2,No Data,20.5,36,23.4,14.6,138.3,40.5,87.2,19.6,65.1,18.6,19.3,40.6,15.5,40.6,No Data,38.4,35.7,25.5,63.5,18.6,19.3,50.9,13.8,2.9,No Data,28.9,21.3,25.7,76.1,No Data,14.3,25.2,No Data,36.6,28.4
2007,No Data,11.7,No Data,16.5,9.8,15.4,20.3,No Data,No Data,27.8,No Data,91.9,12.6,6.9,No Data,21.4,35.7,23.7,14.6,132.2,39.7,85.2,19.2,65.5,18.1,17.6,40.2,15.2,40.65,No Data,38.4,35.3,25,62.1,18.8,19.3,46.7,13.8,2.9,No Data,28.4,21.1,25,71.6,No Data,14,24.4,No Data,35.3,28.6
2008,No Data,11.1,No Data,16.2,9.3,15.3,19.9,No Data,No Data,27.5,No Data,89.5,11.9,6.7,No Data,22.3,35.5,23.8,14.7,126.1,39,83.2,18.9,65.6,17.9,16.1,39.8,14.9,40.55,No Data,38.3,34.8,24.4,60.8,19,19.3,42.9,13.9,2.8,No Data,27.8,20.8,24.4,67.7,No Data,13.7,23.8,No Data,34,28.8
2009,No Data,10.6,No Data,15.9,8.9,15.1,19.4,No Data,No Data,27,No Data,86.9,11.3,6.5,No Data,23.4,35.3,23.7,14.9,120.2,38.2,81.2,18.5,65.2,17.7,14.9,39.4,14.6,40.2,No Data,38,34.1,23.7,59.3,19.3,25.7,39.3,14,2.8,No Data,27.1,20.4,23.7,64.4,No Data,13.4,23.2,No Data,32.6,29
2010,No Data,10,No Data,15.6,8.5,15,18.9,No Data,No Data,26.3,No Data,84.6,10.8,6.4,No Data,24.6,35.1,23.6,15.1,114.5,37.4,203.6,18,64.4,17.5,13.9,39,14.5,39.7,No Data,37.5,33.4,23.1,57.9,19.7,19.3,36.1,14.1,2.8,No Data,26.4,19.8,23.1,61.5,No Data,13.2,22.5,No Data,31.3,29.1
2011,No Data,9.5,No Data,15.2,8.2,14.8,18.3,No Data,No Data,25.2,No Data,82,10.3,6.2,No Data,25.8,35,23.6,15.3,109.1,36.7,77.4,17.5,63.3,17.4,12.9,38.6,14.6,39,No Data,36.9,32.5,22.5,56.5,20,19.2,33,14.2,2.8,No Data,25.6,19.2,22.5,58.8,No Data,12.9,21.8,No Data,30.1,29.3
2012,No Data,9,No Data,14.9,8,14.7,17.7,No Data,No Data,24,No Data,79.4,9.9,6.1,No Data,27.1,35,23.5,15.5,104.2,35.9,75.6,17,62.1,17.4,12.1,37.9,14.9,38.3,No Data,36,31.6,21.8,55.2,20.4,19.1,30.2,14.4,2.8,No Data,24.9,18.6,22,56.3,No Data,12.8,21.2,No Data,29,29.3
2013,No Data,8.5,No Data,14.6,7.8,14.6,16.9,No Data,No Data,22.5,No Data,76.9,9.5,5.9,No Data,28.4,35,23.7,15.8,99.7,35,73.7,16.5,60.8,17.3,11.3,37.2,15,37.4,No Data,35.1,30.7,21.2,53.8,20.9,18.9,27.7,14.5,2.8,No Data,24.2,18,21.4,54.2,No Data,12.6,20.6,No Data,27.9,29.1
2014,No Data,8.1,No Data,14.3,7.7,14.3,16.1,No Data,No Data,21,No Data,74.7,9.1,5.8,No Data,29.8,35,23.9,16,95.7,34.1,71.9,16,59.2,17.2,10.5,36.3,14.8,36.45,No Data,34.1,29.8,20.4,52.4,21.4,18.7,25.3,14.7,2.7,No Data,23.4,17.4,20.9,52.1,No Data,12.5,19.9,No Data,26.9,28.8
2015,No Data,7.8,No Data,14,7.6,14,15.3,No Data,No Data,19.5,No Data,72.3,8.8,5.7,No Data,31.1,35,24.4,16.2,92.1,33.1,69.9,15.5,57.6,16.9,9.8,35.4,14.5,35.4,No Data,33.2,29,19.8,51,21.9,18.6,23.1,14.8,2.7,No Data,22.7,16.7,20.3,50.2,No Data,12.4,19.3,No Data,26,28.2
2016,No Data,7.4,No Data,13.7,7.5,13.7,14.5,No Data,No Data,18.1,No Data,70.1,8.5,5.5,No Data,32.4,35,24.9,16.4,88.7,32.1,67.9,15.1,56,16.6,9,34.4,14.5,34.35,No Data,32.3,28,19.2,49.7,22.4,18.4,21.2,14.8,2.7,No Data,22,16.2,19.8,48.4,No Data,12.3,18.8,No Data,25.1,27.6
2017,No Data,7.1,No Data,13.3,7.3,13.4,13.7,No Data,No Data,16.8,No Data,67.9,8.2,5.4,No Data,33.5,34.9,25.5,16.6,85.5,31.2,66,14.6,54.5,16.2,8.3,33.5,14.9,33.3,No Data,31.3,27.2,18.6,48.2,23,18.1,19.5,14.7,2.6,No Data,21.4,15.6,19.3,46.8,No Data,12.1,18.3,No Data,24.3,26.9
2018,No Data,6.9,No Data,13,7.1,13,12.9,No Data,No Data,15.8,No Data,65.7,7.9,5.3,No Data,34.4,34.8,26.2,16.6,82.5,30.2,64.1,14.2,52.8,15.8,7.6,32.5,15.4,32.3,No Data,30.4,26.4,18,46.8,23.5,17.8,18.1,14.5,2.5,No Data,20.7,15.1,18.7,45.1,No Data,11.9,17.7,No Data,23.5,26.3
2019,No Data,6.6,No Data,22.4,7,12.6,12.3,No Data,No Data,14.9,No Data,63.5,7.6,5.2,No Data,35,34.4,26.9,16.5,79.6,29.3,62.2,13.7,51.2,15.4,7,31.6,16,31.3,No Data,29.5,25.5,17.4,45.3,24,17.4,17,14.3,2.4,No Data,20,14.6,18.1,43.7,No Data,11.7,17.2,No Data,22.7,25.6
2020,No Data,6.4,No Data,12.3,6.8,12.2,11.7,No Data,No Data,14.2,No Data,61.3,7.4,5.1,No Data,35.4,33.8,27.4,16.4,76.8,28.4,60.5,13.3,49.6,15,6.5,30.7,16.5,30.4,No Data,28.5,24.8,16.9,43.9,24.4,17,16.1,13.9,2.2,No Data,19.4,14.1,17.6,42.3,No Data,11.4,16.6,No Data,22,24.9
