Country,Region,Year,Project Title,Budget (USD),Expense (USD),SDGs,Signature Solution,SAMOA Pathway,Funding Sources
ABW,Caribbean,2016,Engagement Facility Aruba,83696,49779,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
ABW,Caribbean,2017,Engagement Facility Aruba,33000,15669,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
ABW,Caribbean,2019,Engagement Facility Aruba,6480,5400,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
ABW,Caribbean,2020,Engagement Facility Aruba,55717,35237,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
ABW,Caribbean,2021,Engagement Facility Aruba,,8588,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
ABW,Caribbean,2022,Engagement Facility Aruba,216,114,"Goal 16 - Peace, justice and strong institutions",Other,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 13 - Social Development","Government of Aruba,United Nations development Pro"
BRB,Caribbean,2016,Engagement Facility,131176,130550,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2017,Engagement Facility,452433,351745,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2018,Engagement Facility,1813727,1152629,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2019,Engagement Facility,1178629,1106746,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2020,Engagement Facility,1464253,145092,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2021,Engagement Facility,948351,351038,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2022,Engagement Facility,240678,306196,"Goal 1 - No Poverty,Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Government of The British Virgin,Department For International development (DFID),Department of Foreign Affairs, Trade And development,Swedish International development Cooperation (SIDA),United Nations Children'S Fund,United Nations development Pro,United States Agency For International development (USAID)"
BRB,Caribbean,2018,Caribbean Recovery and Resilience Programme,1505833,641460,"Goal 1 - No Poverty,Goal 13 - Climate Action",Enhance national prevention and recovery capacities for resilient societies,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Government of The British Virgin,Department For International development (DFID),Government of denmark,Government of Romania,New Zealand Agency For International development,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2019,Caribbean Recovery and Resilience Programme,1854127,1122168,"Goal 1 - No Poverty,Goal 13 - Climate Action",Enhance national prevention and recovery capacities for resilient societies,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Government of The British Virgin,Department For International development (DFID),Government of denmark,Government of Romania,New Zealand Agency For International development,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2020,Caribbean Recovery and Resilience Programme,448452,418229,"Goal 1 - No Poverty,Goal 13 - Climate Action",Enhance national prevention and recovery capacities for resilient societies,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Government of The British Virgin,Department For International development (DFID),Government of denmark,Government of Romania,New Zealand Agency For International development,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2021,Caribbean Recovery and Resilience Programme,266999,262140,"Goal 1 - No Poverty,Goal 13 - Climate Action",Enhance national prevention and recovery capacities for resilient societies,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Government of The British Virgin,Department For International development (DFID),Government of denmark,Government of Romania,New Zealand Agency For International development,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2022,Caribbean Recovery and Resilience Programme,281890,91549,"Goal 1 - No Poverty,Goal 13 - Climate Action",Enhance national prevention and recovery capacities for resilient societies,"Goal 1 - Sustained and sustainable, inclusive and equitable economic growth with decent work for all,Goal 2 - Climate Change,Goal 4 - Disaster risk reduction","Government of The British Virgin,Department For International development (DFID),Government of denmark,Government of Romania,New Zealand Agency For International development,UNDP Funding Windows,United Nations development Pro"
BRB,Caribbean,2019,"Enabling Gender-Responsive Disaster Recovery, Climate an",1349041,134401,"Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BRB,Caribbean,2020,"Enabling Gender-Responsive Disaster Recovery, Climate an",3227858,2059534,"Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BRB,Caribbean,2021,"Enabling Gender-Responsive Disaster Recovery, Climate an",2520948,2135911,"Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BRB,Caribbean,2022,"Enabling Gender-Responsive Disaster Recovery, Climate an",4119917,1495244,"Goal 13 - Climate Action,Goal 7 - Affordable and Clean Energy",Keeping people out of poverty,"Goal 2 - Climate Change,Goal 4 - Disaster risk reduction,Goal 3 - Sustainable Energy","Department For International development (DFID),Department of Foreign Affairs, Trade And development,United Nations development Pro"
BRB,Caribbean,2020,THE COVID-19 PROGRAMME,1613111,1221816,,Other,,"Better Shelter,Caribbean Development Bank,Government of India,UNDP Funding Windows,United Nations Children'S Fund,United Nations development Fund For Women (Un Women),United Nations development Pro"
BRB,Caribbean,2021,THE COVID-19 PROGRAMME,1040432,828997,,Other,,"Better Shelter,Caribbean Development Bank,Government of India,UNDP Funding Windows,United Nations Children'S Fund,United Nations development Fund For Women (Un Women),United Nations development Pro"
