Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
1970,No Data,64517,59106,179129,222555,241397,120905,55000,9581,287262,10533,242351,No Data,8869636,144739,68895,4475871,527634,98794,591663,705261,4680812,1859091,57437,44968,123243,23969,826000,58989,No Data,6663,No Data,11366,2489059,103090,142771,77583,53600,2074507,6260,172833,98459,379918,554021,No Data,86484,988890,5665,5814,87019
1971,No Data,64769,58816,184435,230992,242350,123091,54600,9813,293505,11117,249066,No Data,9025709,147389,69430,4599841,538000,98535,594501,713904,4766423,1886143,58535,44583,127066,24680,839230,60673,No Data,6778,No Data,11740,2549315,104781,145064,79226,54695,2112900,6736,177264,99699,392026,563953,No Data,87904,1000130,5742,5854,89796
1972,No Data,64695,58855,189181,243143,243458,125054,54200,9907,296818,11778,256187,No Data,9169289,147710,69870,4724801,547918,98225,595950,721994,4853117,1915299,59606,44416,130990,25084,852053,62265,No Data,6883,No Data,12172,2610700,106457,147332,80835,56029,2152400,7226,181876,100843,397529,574014,No Data,89275,1013031,5896,5891,92687
1973,No Data,64463,59365,193563,256632,244643,126875,53800,10018,299191,12443,263728,No Data,9297924,146912,70334,4851183,557244,97886,603203,729865,4940710,1945320,60598,44242,134940,25522,864819,63889,No Data,6990,No Data,12541,2672144,108114,149587,82472,56892,2193000,7750,186816,101924,396331,584035,No Data,90611,1026563,6068,5934,95687
1974,No Data,64218,60028,197767,270627,245851,128620,53400,10146,301682,13118,271719,No Data,9413105,148351,70822,4978582,566296,97528,623576,737701,5030652,1974880,60953,44056,138944,26174,878042,65552,No Data,7096,No Data,12662,2733313,109740,152240,84189,57937,2229800,8312,192155,102951,394519,592277,No Data,92007,1040291,6249,6100,98790
1975,No Data,64035,60715,201881,285116,247090,130801,53000,10282,304375,13791,280036,No Data,9514305,149129,71300,5106453,575804,97165,659635,745590,5124560,2003094,60675,43888,143126,27047,892000,67121,No Data,7199,No Data,12607,2794462,111497,155263,86037,59292,2262600,8906,197853,103879,392137,600126,No Data,93477,1054017,6451,6381,102010
1976,No Data,63990,61193,206096,300044,248359,133471,53200,10428,307015,14456,288810,No Data,9600862,149399,71748,5235318,586607,96781,701016,753553,5222342,2029486,60310,43740,147468,27964,906507,68602,No Data,7306,No Data,12539,2855837,113421,158136,88078,60504,2293300,9523,204082,104709,389231,609650,No Data,94921,1067696,6668,6677,105341
1977,No Data,64117,61465,210534,315337,249663,136183,53400,10578,309389,15116,298152,No Data,9672546,149459,72142,5365074,599289,96329,746588,761378,5323827,2054927,59894,43603,151792,28912,921379,70144,No Data,7441,No Data,12463,2917572,115385,160362,90299,61786,2325300,10172,210932,105499,385810,619308,No Data,95847,1081693,6885,6984,108769
1978,No Data,64329,61738,215016,330912,251009,138933,53600,10727,311685,15746,307938,No Data,9729986,148341,72478,5495443,613611,95811,794328,768609,5428667,2080485,59465,43465,156025,29892,933499,71983,No Data,7541,No Data,12387,2979606,117397,161988,92659,62150,2353600,10850,218193,106236,381885,627671,No Data,96227,1096569,7110,7297,112185
1979,No Data,64609,62006,219426,346697,252334,141823,53800,10876,313995,16378,318123,No Data,9774711,147851,72768,5625864,628859,95242,821598,774482,5536423,2106937,59775,43278,160326,30902,949888,74114,No Data,7586,No Data,12300,3041902,119463,163489,95017,62686,2383500,11542,225786,106882,377362,634549,No Data,96506,1112310,7332,7552,115344
