"#Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio) Parity indices require no additional data than the specific disaggregations of interest. They are simply the ratio of the indicator value for one group to that of the other. Typically, the likely more disadvantaged group is the numerator. A value of exactly 1 indicates parity between the two groups."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
2000,1.520835,0.997024,1.333333333,1.10965,No Data,1.05507,1.0201375,No Data,1.63889,No Data,1.224956,No Data,No Data,0.99864,No Data,1.277166,0.9146,No Data,1.13732,0.99967,1.318765,No Data,No Data,No Data,No Data,1.184303333,No Data,1.5,No Data,1.5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.408496667,No Data,No Data,No Data,0.87977,No Data,No Data,No Data,No Data,1.31387,0.84691,No Data,No Data
2001,1.51591,No Data,1,No Data,No Data,0.99793,1.1745975,1.2,No Data,No Data,1.204734,No Data,No Data,1.0022625,No Data,1.174595,No Data,No Data,1.09572,No Data,1.374115,No Data,No Data,No Data,1.02054,1.02196,No Data,1.5,No Data,1.603503333,No Data,No Data,No Data,No Data,1.10286,No Data,No Data,0.87382,No Data,No Data,No Data,0.96502,No Data,No Data,No Data,No Data,1.319416667,0.974535,No Data,No Data
2002,1.03509,No Data,1,1.218564,No Data,0.99877,No Data,1.2,No Data,1.33087,0.994063333,No Data,No Data,1.004056667,No Data,1.08329,No Data,No Data,2,No Data,No Data,No Data,No Data,No Data,0.9448775,1.0542175,1,1.5,No Data,1.470266,No Data,No Data,No Data,No Data,No Data,No Data,0.71318,2,No Data,No Data,No Data,0.8113675,No Data,No Data,No Data,No Data,0.97653,0.942995,No Data,No Data
2003,1.27027,No Data,0.999185,No Data,No Data,0.98614,1.11868,1.2,1.304812,1.313975,No Data,No Data,No Data,0.993325,No Data,1.480934,No Data,No Data,1.08853,No Data,1.163246,No Data,No Data,No Data,0.8937425,1.19092,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.80616,No Data,No Data,1.413793333,No Data,No Data,No Data,0.9053925,No Data,No Data,No Data,No Data,1.33394,0.93477,No Data,No Data
2004,1.42857,No Data,1.001946667,1.07353,No Data,1.07076,1.41187,1.2,No Data,1.307345,1.210514,No Data,No Data,0.992855,No Data,1.2092975,1.1296075,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.9737925,No Data,No Data,1.5,No Data,2,No Data,No Data,No Data,No Data,1.5272,No Data,No Data,No Data,No Data,No Data,No Data,0.928995,No Data,No Data,No Data,No Data,1.14147,No Data,No Data,No Data
2005,1.864515,No Data,1.003556667,1.015803333,No Data,1.159453333,No Data,1,No Data,1.303105,1.202484,No Data,1.472975,1,No Data,1.2310325,1.117384,No Data,1.137205,No Data,1.29681,No Data,No Data,1.0251475,0.7403375,1.04222,No Data,1.5,No Data,1.851852,No Data,No Data,No Data,No Data,1.118205,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2006,1.565213333,No Data,0.998736667,1.0668025,0.58235,1.00259,1.2432675,1,1.62012,1.541775,1.211288,No Data,No Data,1,No Data,1.2404675,1.115234,No Data,No Data,No Data,No Data,No Data,No Data,0.9817075,No Data,0.975336667,No Data,1.5,No Data,1.905556667,2,No Data,No Data,No Data,0.94088,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2007,1.575673333,1.336766667,1,1.090306667,No Data,1.383,1.0141875,No Data,1.21932,1.23885,1.01786,No Data,1.023815,1,No Data,1.0897275,1.164426,1.00002,1.49963,No Data,1.184635,No Data,No Data,1.00969,No Data,0.989685,No Data,1,No Data,1.73611,1.38551,No Data,No Data,No Data,1.03657,No Data,No Data,No Data,1.00395,No Data,No Data,1.08164,No Data,No Data,No Data,No Data,0.91207,No Data,No Data,No Data
2008,1.697945,1.364633333,1.01485,0.999935,2,1.12272,1.2629325,No Data,No Data,1.228146,1.074165,No Data,No Data,1,No Data,1.0379825,1.076548,1.01808,1.254326667,No Data,1.21162,No Data,No Data,1.04066,No Data,0.981375,No Data,1.021425,No Data,No Data,No Data,No Data,No Data,No Data,1.19352,No Data,No Data,No Data,0.99871,No Data,No Data,1.142526667,1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2009,1.87738,0.9359925,1.000913333,1.056095,2,1.26286,1.23229,No Data,No Data,1.242978,No Data,No Data,No Data,1,No Data,1.024965,1.009598,No Data,1.473335,No Data,1.126754,No Data,No Data,No Data,1.19443,1.13002,No Data,0.98802,No Data,1.65238,No Data,No Data,No Data,No Data,1.06589,No Data,1.04973,No Data,0.999525,No Data,No Data,1.3226125,1,No Data,No Data,No Data,1.234025,No Data,No Data,No Data
2010,1.77193,1.0378975,0.999573333,No Data,2,1.370885,1.2210775,No Data,No Data,1.254912,No Data,No Data,No Data,1,No Data,1.146255,1.04797,No Data,1.115365,1.17296,1.131153333,No Data,No Data,No Data,1.2912675,1.209756667,No Data,1,No Data,No Data,No Data,No Data,No Data,No Data,1.06599,No Data,No Data,No Data,No Data,No Data,0.995715,1.0272875,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
