"#Proportion of teachers with the minimum required qualifications, by education level and sex (%) From UNESCO:  The percentage of teachers by level of education taught (pre-primary, primary, lower secondary and upper secondary) who have received at least the minimum organized pedagogical teacher training pre-service and in-service required for teaching at the relevant level in a given country. The indicator should be calculated separately for public and private institutions. From OECD: Teachers (ISCED 2 level) were asked to indicate whether they had participated in any of the following activities 12 months prior to the survey: \tCourses/workshops (on subject matter or methods and/or other education-related topics). \tEducation conferences or seminars (where teachers and/or researchers present their research results and discuss education problems). \tObservation visits to other schools. \tObservation visits to business premises, public organisations, or non-governmental organisations. \tIn-service training courses in business premises, public organisations or non-governmental organisations. \tQualification programmes (e.g. a degree programme). \tParticipation in a network of teachers formed specifically for the professional development of teachers. \tIndividual or collaborative research on a topic of professional interest. \tMentoring and/or peer observation and coaching as part of a formal school arrangement"
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
2000,61.688315,48.366632,100,56.09756,No Data,66.83128,54.3894475,No Data,56.707315,No Data,99.185904,No Data,No Data,90.43182,No Data,51.277338,67.86666,No Data,67.21106,28.902615,44.50573,No Data,No Data,No Data,44.70889,63.31849667,No Data,92.626635,No Data,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,82.50168333,No Data,No Data,No Data,49.50739,No Data,No Data,No Data,No Data,49.49962667,46.15385,No Data,No Data
2001,65.88032,No Data,100,No Data,No Data,71.07438,39.8341175,100,No Data,No Data,99.384616,No Data,No Data,95.522565,No Data,38.928335,No Data,No Data,70.06536,No Data,46.58882,No Data,No Data,No Data,45.17456,69.36761,No Data,94.89963,No Data,86.73913,No Data,No Data,No Data,No Data,64.20766,No Data,No Data,80.85410333,No Data,No Data,No Data,62.209885,No Data,No Data,No Data,No Data,51.30297333,88.21138,No Data,No Data
2002,73.80952,No Data,100,90.238272,No Data,75.03771,No Data,100,No Data,58.11186,98.59228,No Data,No Data,83.96775,No Data,42.709405,78.13045333,No Data,31.57895,No Data,No Data,No Data,No Data,No Data,43.9307325,68.855975,100,95.2912,No Data,76.852804,No Data,No Data,No Data,No Data,No Data,No Data,54.8913,81.18812,No Data,No Data,No Data,57.911125,No Data,No Data,No Data,No Data,68.677335,92.016805,No Data,No Data
2003,54.554655,No Data,98.13234667,No Data,No Data,77.84214,40.928915,100,62.799826,59.7653975,No Data,50.56178333,No Data,88.418215,No Data,45.426282,No Data,No Data,38.559968,No Data,54.918276,No Data,No Data,No Data,44.5229725,55.255845,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,77.33454,No Data,No Data,79.86515333,No Data,No Data,No Data,56.0505775,No Data,No Data,No Data,No Data,53.88914667,90.64694,No Data,No Data
2004,67,No Data,98.39944333,91.53488,No Data,62.81646,45.9463225,100,No Data,60.026345,98.74406,No Data,No Data,83.9343375,No Data,42.7397775,73.51313,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40.2976175,No Data,No Data,94.82619,No Data,93.18182,No Data,No Data,No Data,No Data,66.52104,No Data,No Data,No Data,No Data,No Data,No Data,58.529125,No Data,No Data,No Data,No Data,81.00523,No Data,No Data,No Data
2005,58.4328,No Data,97.27755667,90.52944667,No Data,65.66728333,No Data,100,No Data,61.94553,99.54726,No Data,78.79544,100,No Data,38.518435,84.176812,No Data,54.367775,No Data,55.309624,No Data,No Data,71.8238225,43.8683475,63.29974667,No Data,95.141945,No Data,66,No Data,No Data,No Data,No Data,68.748485,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2006,59.50940667,No Data,97.57292,89.5811775,58.27036,57.13287,36.46903,100,74.2268,46.468925,99.262982,No Data,No Data,100,No Data,42.123055,81.40395,No Data,No Data,No Data,No Data,No Data,No Data,58.1376525,No Data,69.62047,No Data,100,No Data,76.17284,77.5,No Data,No Data,No Data,68.44243,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2007,52.92058667,54.30341667,100,88.0925175,No Data,60.035635,38.4216075,No Data,71.62791,66.920754,95.8209,No Data,79.073685,100,No Data,45.801565,84.191666,96.07118,55.868405,No Data,54.90459,No Data,No Data,65.792535,45.3449075,77.795685,No Data,100,No Data,78.68001333,64.20282333,No Data,No Data,No Data,82.14654,No Data,No Data,No Data,99.32573,No Data,No Data,54.353175,No Data,No Data,No Data,No Data,65.329885,No Data,No Data,100
2008,49.877605,38.42796333,99.46693,88.3582225,47.04611,54.719455,36.0522825,No Data,No Data,70.72956,97.065415,57.42198,No Data,100,No Data,38.0614625,84.992302,96.282705,50.96765667,No Data,56.01342,No Data,No Data,65.0754,42.71905,81.432305,No Data,98.209365,No Data,No Data,No Data,No Data,No Data,No Data,72.210335,No Data,No Data,95.142525,98.92852,No Data,No Data,62.6498825,100,No Data,No Data,No Data,86.58888,No Data,No Data,No Data
2009,50.346325,45.470035,98.67690333,85.3145875,48.18182,53.891125,35.421255,No Data,No Data,72.384278,No Data,No Data,No Data,100,No Data,41.9844725,85.784144,No Data,53.561855,No Data,56.962054,No Data,No Data,No Data,52.877975,69.16606,No Data,98.80858,No Data,54.335976,No Data,No Data,No Data,No Data,72.859915,71.86761,48.10225,97.37647667,98.91405,No Data,No Data,55.66604,100,No Data,No Data,No Data,64.186355,No Data,No Data,No Data
