"#Pupil-teacher ratio Primary school pupil-teacher ratio is the average number of pupils per teacher in primary school."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
1970,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,31.79074,No Data,No Data,No Data,No Data,No Data,29.67588,No Data,23.27498,No Data,24.20997,29.65315,No Data,24.0339,No Data,No Data,No Data,No Data,27.15046,No Data,No Data,No Data,23.45758
1971,No Data,No Data,No Data,45.46252,No Data,No Data,No Data,23.41935,22.93617,38.23014,No Data,41.68144,No Data,27.05996,No Data,No Data,55.38453,No Data,37.94375,45.41234,29.09342,46.8334,46.69999,No Data,No Data,No Data,No Data,31.63676,17.85478,No Data,17.2,No Data,No Data,29.06782,No Data,26.65528,33.27675,24.79898,29.91525,No Data,23.72075,No Data,36.92561,No Data,No Data,25.33333,34.46686,15.23585,No Data,24.14066
1972,No Data,25.11017,No Data,42.84154,No Data,No Data,No Data,21.34986,21.62766,35.37616,No Data,39.34343,No Data,28.5622,No Data,No Data,55.71323,No Data,33.70475,52.21587,No Data,52.35814,40.93971,26.29379,No Data,No Data,No Data,31.42649,No Data,No Data,No Data,No Data,No Data,27.66807,28.63739,22.65699,34.14618,24.63081,32.67158,No Data,23.50184,19.55864,33.5295,No Data,No Data,25.80374,33.39772,19.9,No Data,23.57215
1973,No Data,No Data,No Data,No Data,21.33158,No Data,No Data,20.89831,22.74468,No Data,No Data,37.6848,No Data,28.82339,No Data,34.7877,54.77386,No Data,35.22672,No Data,No Data,50.90525,No Data,31.10512,No Data,No Data,No Data,29.33498,No Data,No Data,No Data,No Data,No Data,29.33141,32.87817,27.10979,No Data,24.40618,31.00889,No Data,23.38419,No Data,32.5,No Data,No Data,26.03432,32.87038,No Data,No Data,26.33653
1974,No Data,25.49091,No Data,No Data,24.16193,No Data,No Data,20.7659,No Data,46.27715,No Data,41.86643,No Data,26.1997,No Data,38.05357,52.9007,No Data,36.81806,No Data,32.38239,42.04647,No Data,No Data,No Data,No Data,No Data,27.37374,No Data,No Data,No Data,No Data,No Data,30.42107,31.86323,No Data,No Data,24.89183,30.75248,No Data,26.78439,No Data,30.84558,No Data,No Data,25.34731,31.63394,No Data,No Data,24.36609
1975,No Data,23.78043,No Data,26.72873,22.94624,No Data,No Data,21.28923,20.9,42.31481,No Data,No Data,No Data,24.24474,No Data,37.92918,51.56871,No Data,No Data,No Data,No Data,39.85336,39.53064,33.10022,No Data,No Data,No Data,26.00121,No Data,No Data,No Data,No Data,No Data,31.58364,31.65397,23.43092,No Data,23.90654,30.47239,No Data,26.34827,No Data,30.53877,No Data,No Data,27.99419,30.90816,17.29787,No Data,No Data
1976,No Data,21.64122,No Data,24.50309,21.94569,No Data,No Data,No Data,18.54867,52.12711,No Data,47.37831,No Data,23.17937,No Data,No Data,50.81095,No Data,No Data,37.85945,32.14215,41.22673,No Data,30.60287,No Data,No Data,No Data,24.67938,No Data,No Data,No Data,No Data,No Data,31.07909,31.33158,21.69213,33.86256,22.87356,29.84477,No Data,25.49151,18.06116,31.41497,No Data,No Data,25.38983,30.75769,21.25301,No Data,No Data
1977,No Data,26.04296,No Data,22.53211,22.73333,No Data,No Data,17.68449,No Data,45.95586,25.38636,No Data,No Data,21.61838,No Data,38.0303,No Data,No Data,32.00474,No Data,32.38616,39.42839,37.16503,31.44598,No Data,No Data,No Data,23.14471,No Data,No Data,No Data,No Data,No Data,29.64367,32.6283,21.55795,No Data,No Data,29.61324,No Data,24.68662,No Data,28.83223,No Data,No Data,No Data,29.3721,21.68675,No Data,25.22169
1978,No Data,24.53865,No Data,No Data,20.72752,27.97392,No Data,20.26959,No Data,42.13739,No Data,No Data,No Data,19.63922,No Data,No Data,No Data,No Data,32.16066,No Data,30.97399,41.23968,No Data,31.42424,No Data,No Data,No Data,21.7755,No Data,No Data,No Data,No Data,No Data,30.6369,32.62434,19.68389,26.87287,23.70726,28.71383,No Data,26.48416,No Data,27.70556,No Data,No Data,25.92641,28.58133,21.15,No Data,22.01413
1979,No Data,24.50513,No Data,No Data,20.39446,27.38779,No Data,22.75191,20.57143,37.90271,No Data,No Data,No Data,18.75056,No Data,No Data,No Data,No Data,31.4375,28.00208,32.57699,41.45643,43.83249,30.75058,No Data,No Data,No Data,19.82412,No Data,No Data,No Data,No Data,No Data,29.83827,31.47247,20.06104,No Data,24.63704,27.72198,No Data,25.32676,No Data,27.7249,No Data,No Data,24.13692,27.99918,No Data,No Data,No Data
1980,No Data,No Data,No Data,26.14286,19.63372,No Data,No Data,22.84733,No Data,41.62679,18.83036,No Data,No Data,17.91887,No Data,No Data,No Data,No Data,31.89097,24.72888,32.994,43.06168,41.37766,30.42529,25.13595,No Data,No Data,20.18467,No Data,No Data,No Data,No Data,No Data,No Data,32.49469,19.74131,28.61179,No Data,30.82764,No Data,25.14808,No Data,23.25777,No Data,No Data,24.34315,25.88282,No Data,No Data,23.59432
1981,No Data,No Data,No Data,26.05393,18.80132,No Data,No Data,19.01923,18.11009,40.10237,No Data,46.2144,No Data,17.47407,No Data,No Data,No Data,23.95614,23.29381,22.88578,33.46943,44.05672,41.43476,29.9396,No Data,No Data,No Data,20.40705,No Data,No Data,No Data,No Data,No Data,30.25023,30.93521,21.4868,27.85034,No Data,30.00305,No Data,24.98121,No Data,26.59222,No Data,No Data,24.98417,23.8559,No Data,No Data,21.34665
1982,No Data,No Data,No Data,28.39878,19.38576,No Data,No Data,18.03988,No Data,No Data,No Data,No Data,No Data,16.96203,No Data,No Data,No Data,No Data,23.34079,22.56501,37.21815,44.08803,No Data,30.74667,No Data,No Data,No Data,20.68609,No Data,No Data,No Data,No Data,No Data,30.87573,30.82905,18.47466,26.55105,No Data,27.88061,No Data,25.53461,18.15625,27.07841,No Data,No Data,21.06053,23.01315,No Data,No Data,No Data
1983,No Data,No Data,No Data,21.00579,18.35417,20.33311,No Data,17.85714,16.60331,No Data,No Data,38.01422,No Data,16.3521,No Data,No Data,46.3499,No Data,23.17277,22.11091,36.22012,42.56688,33.78129,30.04857,No Data,No Data,No Data,21.11838,No Data,No Data,No Data,No Data,No Data,No Data,32.27919,17.93542,25.64013,No Data,29.31156,No Data,25.14604,No Data,25.22084,No Data,No Data,19.6262,22.58083,No Data,No Data,23.81585
1984,No Data,No Data,No Data,19.53355,18.41065,23.46773,No Data,17.5,17.55556,38.58201,No Data,38.52209,No Data,15.37914,No Data,No Data,No Data,No Data,22.27742,22.70027,37.41756,42.36704,34.29697,28.01274,22.60504,No Data,No Data,20.94215,No Data,No Data,No Data,No Data,No Data,31.28478,29.619,No Data,29.50558,No Data,27.08295,No Data,24.42839,No Data,24.74588,No Data,No Data,20.89012,22.69793,No Data,No Data,No Data
1985,No Data,No Data,No Data,21.0852,19.18949,21.22519,No Data,17.46926,No Data,No Data,No Data,31.17927,No Data,14.75258,No Data,No Data,43.44283,No Data,22.71296,24.7222,35.69153,40.3508,34.59407,29.21739,22.58112,No Data,No Data,21.81612,No Data,No Data,20.43662,No Data,No Data,No Data,29.83921,No Data,30.97292,No Data,26.832,No Data,25.87968,No Data,25.43752,No Data,No Data,22.875,22.22969,No Data,No Data,No Data
1986,No Data,No Data,No Data,18.5897,20.07353,No Data,No Data,No Data,No Data,38.78701,No Data,34.76276,No Data,13.96964,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37.60776,35.24658,28.54604,22.12465,No Data,No Data,22.71182,No Data,No Data,No Data,No Data,No Data,30.34251,30.27399,17.81668,No Data,No Data,26.19057,No Data,21.39697,No Data,23.24352,No Data,No Data,22.31135,22.06739,No Data,No Data,No Data
1987,No Data,No Data,No Data,No Data,20.12663,No Data,No Data,No Data,No Data,33.62702,No Data,34.51549,No Data,13.29788,No Data,No Data,No Data,No Data,21.87942,24.67286,No Data,36.17723,36.18559,29.1033,29.30827,No Data,No Data,22.16021,No Data,No Data,No Data,No Data,No Data,31.2646,29.73527,No Data,29.63415,No Data,25.64987,No Data,No Data,17.74563,23.15453,No Data,No Data,21.65155,22.97254,No Data,No Data,No Data
1988,No Data,No Data,No Data,No Data,20.99238,No Data,No Data,No Data,No Data,33.15381,No Data,36.4305,No Data,12.68259,No Data,No Data,No Data,No Data,22.61911,24.76085,No Data,No Data,33.77801,29.52288,28.8403,No Data,No Data,21.88242,No Data,No Data,No Data,No Data,No Data,31.72851,30.77767,No Data,29.375,No Data,26.0259,No Data,No Data,No Data,23.23545,No Data,No Data,No Data,23.77882,No Data,No Data,No Data
1989,No Data,No Data,No Data,No Data,21.92193,18.38658,No Data,No Data,No Data,33.00202,No Data,37.59977,No Data,12.29152,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33.08585,28.24655,22.57704,No Data,No Data,21.8104,No Data,No Data,No Data,No Data,No Data,31.72257,30.60998,No Data,No Data,No Data,25.78846,No Data,No Data,No Data,22.52585,No Data,No Data,No Data,24.67714,No Data,No Data,25.7732
1990,No Data,No Data,No Data,No Data,20.92187,17.80025,No Data,No Data,18.2439,33.41272,No Data,35.69737,No Data,12.319,No Data,No Data,No Data,No Data,25.13761,No Data,No Data,No Data,33.64659,28.61673,22.15318,No Data,No Data,21.12971,No Data,No Data,No Data,No Data,No Data,31.68218,29.15391,No Data,35.45975,No Data,25.77773,No Data,19.37241,No Data,22.47896,No Data,No Data,23.97968,No Data,No Data,No Data,No Data
1991,No Data,No Data,No Data,No Data,21.53849,No Data,No Data,No Data,18.57143,36.83175,No Data,36.50326,No Data,12.51003,No Data,29.23918,No Data,No Data,No Data,No Data,29.70675,No Data,No Data,29.21201,19.9697,No Data,No Data,21.233,No Data,No Data,No Data,No Data,No Data,31.47857,29.2866,No Data,No Data,No Data,26.44377,No Data,20.51926,19.68722,22.36969,No Data,No Data,23.42857,25.95905,No Data,No Data,28.71346
1992,No Data,No Data,No Data,No Data,21.6188,17.16806,No Data,No Data,16.17881,No Data,No Data,39.90338,No Data,12.34485,No Data,29.27536,No Data,26.14061,26.73967,No Data,27.37654,36.16852,No Data,29.3945,20.67429,No Data,No Data,20.68527,No Data,No Data,No Data,No Data,No Data,31.41971,27.62235,No Data,No Data,No Data,25.77532,No Data,21.41365,No Data,24.6167,No Data,No Data,21.24745,26.13592,No Data,No Data,30.82981
1993,No Data,No Data,No Data,No Data,20.80254,No Data,No Data,No Data,No Data,No Data,No Data,41.68662,No Data,12.37419,No Data,No Data,No Data,No Data,26.88929,No Data,26.7468,30.87675,No Data,30.38361,No Data,No Data,No Data,21.16726,No Data,No Data,No Data,No Data,No Data,33.24802,27.03073,No Data,No Data,18.01642,24.41733,No Data,24.29529,No Data,21.42409,No Data,No Data,22.27056,25.76566,No Data,No Data,No Data
