"#Trained teachers in secondary education Trained teachers in secondary education are the percentage of secondary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
1998,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,78.9473724365234,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,No Data,No Data,89.4915313720703,No Data,No Data,No Data,No Data,No Data,No Data,No Data,89.8190002441406,No Data,No Data,No Data,No Data
1999,No Data,No Data,100,No Data,No Data,64.3662033081055,No Data,No Data,66.4122085571289,No Data,100,No Data,No Data,94.432258605957,No Data,31.1023597717285,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,89.2405090332031,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,No Data
2000,No Data,41.726619720459,100,No Data,No Data,68.4285736083984,54.3887100219727,No Data,No Data,No Data,100,No Data,No Data,87.0385208129883,No Data,31.0638294219971,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,92.2297286987305,No Data,No Data,No Data,46.7532501220703,No Data,No Data,No Data,No Data,No Data,43.2098808288574,No Data,No Data
2001,No Data,No Data,100,No Data,No Data,71.0102462768555,42.4637718200684,100,No Data,No Data,100,No Data,No Data,94.2370986938477,No Data,33.3333282470703,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,57.8947410583496,No Data,No Data,82.0788497924805,No Data,No Data,No Data,56.465518951416,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2002,No Data,No Data,100,99.7187118530273,No Data,75,No Data,100,No Data,No Data,No Data,No Data,No Data,84.482292175293,No Data,37.9660987854004,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,39.84375,85.8181762695313,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,46.6135482788086,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2003,No Data,No Data,96.5217437744141,No Data,No Data,77.3955764770508,42.5855484008789,100,76.5765762329102,65.3801193237305,No Data,No Data,No Data,84.1467971801758,No Data,35.4838714599609,No Data,No Data,28.5407695770264,No Data,58.5231704711914,No Data,No Data,No Data,38.4892082214355,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,88.3116912841797,No Data,No Data,No Data,46.5116310119629,No Data,No Data,No Data,No Data,No Data,96.6292114257813,No Data,No Data
2004,No Data,No Data,95.4732513427734,No Data,No Data,64.8044662475586,57.8076515197754,100,No Data,63.710620880127,100,No Data,No Data,78.0250473022461,No Data,37.9310302734375,76.8140563964844,No Data,No Data,No Data,No Data,No Data,No Data,No Data,35.2000007629395,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,50.7462692260742,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2005,No Data,No Data,92.3076934814453,90.9673690795898,No Data,60.4954414367676,No Data,100,No Data,65.3674774169922,100,No Data,No Data,100,No Data,34.4827613830566,89.7224426269531,No Data,No Data,No Data,60.2094192504883,No Data,No Data,68.6335372924805,33.4728012084961,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,60.5108108520508,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2006,No Data,No Data,91.8439712524414,90.2601699829102,No Data,57.1938209533691,40.6126518249512,100,No Data,No Data,100,No Data,No Data,100,No Data,36.9863014221191,84.6571273803711,No Data,No Data,No Data,No Data,No Data,No Data,50.6535911560059,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,59.1078109741211,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2007,No Data,No Data,No Data,88.3505172729492,No Data,No Data,38.6093292236328,No Data,No Data,76.7460327148438,No Data,No Data,No Data,100,No Data,40.5228805541992,92.695068359375,96.0720901489258,No Data,No Data,No Data,No Data,No Data,62.7329216003418,No Data,No Data,No Data,No Data,No Data,No Data,34.6153793334961,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99.2686309814453,No Data,No Data,31.4285697937012,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2008,No Data,No Data,No Data,87.2384872436523,No Data,No Data,40.0183982849121,No Data,No Data,79.5842590332031,100,No Data,No Data,100,No Data,30.4347801208496,85.8037567138672,No Data,28.9473705291748,No Data,56.99755859375,No Data,No Data,64.6687698364258,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,98.822883605957,No Data,No Data,59.0425491333008,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2009,No Data,40.6451606750488,95.8990478515625,87.0835494995117,No Data,No Data,38.2508811950684,No Data,No Data,82.9947280883789,No Data,No Data,No Data,100,No Data,35.4330711364746,83.2167510986328,No Data,No Data,No Data,56.9000396728516,No Data,No Data,No Data,53.1914901733398,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99.1860580444336,No Data,No Data,59.0090103149414,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2010,No Data,43.3734893798828,96.1904830932617,No Data,No Data,No Data,42.2354888916016,No Data,No Data,84.7539825439453,No Data,No Data,No Data,100,No Data,39.488639831543,90.4607925415039,No Data,11.2068996429443,No Data,61.0526313781738,No Data,No Data,64.9122772216797,53.1914901733398,94.7406311035156,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,65.3030319213867,No Data,26.6233806610107,No Data,No Data,No Data,71.2230224609375,62.7002296447754,No Data,No Data,No Data,No Data,No Data,No Data,No Data,62.996940612793
2011,No Data,43.7125701904297,96.4968185424805,88.0018692016602,No Data,No Data,40.3381614685059,100,No Data,No Data,99.4318237304688,No Data,No Data,100,No Data,41.9689102172852,81.8233489990234,100,41.1650505065918,No Data,61.1051712036133,No Data,No Data,60.4651184082031,55.8139495849609,97.7661972045898,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,67.1787719726563,No Data,49.1666717529297,No Data,No Data,No Data,67.5232009887695,61.9815711975098,No Data,No Data,No Data,No Data,No Data,No Data,No Data,66.2921295166016
2012,No Data,No Data,97.5683898925781,81.8578567504883,83.8178329467773,No Data,44.4106483459473,100,No Data,89.0685577392578,99.2891006469727,No Data,No Data,100,No Data,No Data,90.3560333251953,100,No Data,No Data,62.8707809448242,No Data,No Data,58.7786293029785,55.3571395874023,89.6683731079102,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,67.0815963745117,No Data,37.8048782348633,78.1420822143555,No Data,No Data,72.0408172607422,60.7142906188965,No Data,No Data,No Data,No Data,No Data,No Data,No Data,59.5
2013,No Data,No Data,No Data,81.1484909057617,84.4904327392578,No Data,40.7834091186523,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,45.3846206665039,76.8294296264648,No Data,43.4878616333008,No Data,No Data,No Data,83.3977584838867,No Data,No Data,98.4247436523438,No Data,45.6901206970215,0.391134291887283,No Data,No Data,No Data,No Data,No Data,71.2034378051758,No Data,No Data,85.5555572509766,No Data,No Data,74.4413375854492,61.7582397460938,No Data,No Data,No Data,68.1020736694336,No Data,No Data,No Data,No Data
2014,No Data,53.265308380127,No Data,82.1489486694336,84.9436111450195,53.2989692687988,No Data,100,No Data,90.6269378662109,No Data,No Data,No Data,100,No Data,47.8723411560059,No Data,No Data,40,No Data,No Data,No Data,86.7755508422852,No Data,52.9744987487793,93.6517868041992,No Data,32.666431427002,4.0332145690918,No Data,No Data,No Data,No Data,No Data,75.1763076782227,No Data,82.9166717529297,87.0206527709961,No Data,No Data,No Data,51.9362182617188,No Data,No Data,No Data,59.1591606140137,No Data,No Data,No Data,72.4137878417969
2015,No Data,45.5576591491699,No Data,87.2749786376953,84.744499206543,53.9295387268066,53.1143112182617,No Data,83.1325302124023,No Data,No Data,No Data,No Data,100,No Data,47.2440910339355,83.3043518066406,No Data,44.5736389160156,No Data,No Data,No Data,87.9269104003906,No Data,62.4309387207031,94.7265625,No Data,33.4025917053223,4.89795923233032,No Data,No Data,No Data,No Data,No Data,75.2066116333008,No Data,56.9444389343262,98.8888931274414,No Data,No Data,78.5515289306641,59.956241607666,No Data,No Data,No Data,58.3732109069824,No Data,No Data,No Data,71.4975814819336
2016,No Data,51.7730484008789,No Data,86.3182601928711,85.8331832885742,57.7809791564941,55.7991485595703,100,No Data,93.2294769287109,No Data,No Data,No Data,100,No Data,51.3580207824707,No Data,No Data,45.1361885070801,No Data,No Data,No Data,100,No Data,64.4808731079102,95.8251800537109,No Data,No Data,5.7331862449646,No Data,No Data,No Data,No Data,No Data,No Data,No Data,49.6969718933105,89.7172164916992,98.9990997314453,No Data,86.1586303710938,56.9037704467773,No Data,No Data,No Data,No Data,No Data,No Data,48,92.0731735229492
