"#Trained teachers in preprimary education Trained teachers in preprimary education are the percentage of preprimary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
1998,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,49.2211799621582,No Data,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,88.1443328857422,No Data,No Data,No Data,No Data,No Data,No Data,No Data,50.4273490905762,No Data,No Data,No Data,No Data
1999,No Data,No Data,100,53.2894706726074,No Data,No Data,No Data,No Data,29.4117603302002,No Data,93.8775482177734,No Data,No Data,No Data,No Data,75,53.3384819030762,No Data,No Data,No Data,38.3276901245117,No Data,No Data,No Data,No Data,47.1590881347656,No Data,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,86.1538467407227,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2000,No Data,45.0757598876953,100,56.1576385498047,No Data,No Data,No Data,No Data,24.3902397155762,No Data,98.0392227172852,No Data,No Data,No Data,No Data,100,59.9123916625977,No Data,No Data,21.1267604827881,37.8181800842285,No Data,No Data,No Data,No Data,48.7046585083008,No Data,85.2532730102539,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,80.0970916748047,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20.0226898193359,No Data,No Data,No Data
2001,No Data,No Data,100,No Data,No Data,No Data,No Data,100,No Data,No Data,97.7777786254883,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,40.3802604675293,No Data,No Data,No Data,No Data,56.6539916992188,No Data,89.7992630004883,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,80.4123687744141,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20.364049911499,No Data,No Data,No Data
2002,No Data,No Data,100,59.7633094787598,No Data,No Data,No Data,100,No Data,7.17761993408203,96.5517196655273,No Data,No Data,No Data,No Data,No Data,No Data,No Data,31.578950881958,No Data,No Data,No Data,No Data,No Data,No Data,47.2168884277344,100,90.5823974609375,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,53.4883689880371,81.188117980957,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2003,No Data,No Data,98.5074615478516,No Data,No Data,No Data,No Data,100,20,7.70171022415161,No Data,No Data,No Data,No Data,No Data,74.814811706543,No Data,No Data,32.7433586120605,No Data,46.139949798584,No Data,No Data,No Data,No Data,50.5241088867188,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,76.7955780029297,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20.364049911499,No Data,No Data,No Data
2004,No Data,No Data,100,No Data,No Data,No Data,No Data,100,No Data,6.70795011520386,95.4545516967773,No Data,No Data,No Data,No Data,No Data,77.6138610839844,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,89.6523818969727,No Data,No Data,No Data,No Data,No Data,No Data,55.2325592041016,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2005,No Data,No Data,100,No Data,No Data,65.0455932617188,No Data,No Data,No Data,7.90598011016846,100,No Data,No Data,No Data,No Data,No Data,77.3420181274414,No Data,No Data,No Data,48.6835594177246,No Data,No Data,No Data,No Data,40.8163299560547,No Data,90.2838897705078,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2006,No Data,No Data,100,No Data,58.2352905273438,No Data,No Data,No Data,No Data,11.4736795425415,100,No Data,No Data,No Data,No Data,No Data,76.4903717041016,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,44.9832801818848,No Data,100,No Data,No Data,77.5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2007,No Data,28.8888893127441,100,No Data,No Data,50.9554100036621,No Data,No Data,No Data,17.6056308746338,No Data,No Data,No Data,No Data,No Data,No Data,77.3414611816406,No Data,42.2764205932617,No Data,52.6288414001465,No Data,No Data,No Data,No Data,No Data,No Data,96.4982070922852,No Data,No Data,84.2105331420898,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
