"#Energy intensity level of primary energy (megajoules per constant 2017 purchasing power parity GDP) Primary energy intensity is obtained by dividing total primary energy supply over gross domestic product. Total primary energy supply, as defined by the IEA, is made up of production plus net imports minus international marine and aviation bunkers plus-stock changes. For international comparison purposes, GDP is measured in constant terms at purchasing power parity."
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
2000,No Data,3.13,14.38,2.33,10.43,3.83,6.7,1.52,No Data,3.28,1.91,2.66,No Data,3.46,22.21,2.46,3.9,2.75,2.45,11.19,5.78,5.63,5.89,5.07,3.09,1.74,9.35,3,8.015,No Data,17.39,No Data,11.21,5.88,3.06,5.31,4.52,2.91,3.46,No Data,6.99,2.43,4.15,No Data,No Data,2.97,19.47,3.38,3.46,3.66
2001,No Data,3.31,14.94,2.19,10.41,4.01,6.75,1.45,No Data,3.61,1.91,2.68,No Data,3.28,23.25,2.63,3.7,2.97,2.56,11.13,5.69,5.55,5.93,5,3.02,1.85,9.03,3.05,7.49,No Data,17.1,No Data,10.74,6.32,3.28,4.67,4.38,3.19,3.99,No Data,7.75,2.82,4.29,No Data,No Data,2.64,20.76,3.35,4.19,3.88
2002,No Data,3.59,15.55,2.23,10.45,3.91,6.33,1.54,No Data,3.68,1.96,2.65,No Data,3.01,22.73,2.54,3.87,2.69,2.58,11.43,5.78,5.7,5.56,5.64,3.23,2.2,9.42,2.97,7.115,No Data,18.24,No Data,10.39,6.57,3.22,4.48,4.48,3.24,3.81,No Data,8.15,2.85,2.89,1.7,No Data,2.66,20.78,4.39,3.64,3.82
2003,No Data,3.63,15.73,2.32,10.3,3.92,5.66,1.5,No Data,3.72,1.93,2.88,No Data,2.89,21.63,2.67,3.53,2.79,2.5,11.79,6.06,5.54,5.6,5.75,3.44,1.66,9.41,2.94,7.24,No Data,16.11,No Data,10.66,6.78,3.22,4.48,4.53,3.34,4.41,No Data,7.82,2.79,2.91,1.71,No Data,3.2,20.45,4.15,3.51,3.78
2004,No Data,3.57,14.76,2.27,9.83,3.97,5.39,1.51,No Data,3.36,1.8,2.97,No Data,2.67,22.84,3.06,3.34,3.27,2.45,11.7,6.25,5.72,5.56,6.16,3.49,2.07,9.77,2.87,6.94,No Data,15.7,No Data,10.28,6.98,3.11,4.19,4.64,3.83,4.82,No Data,7.59,2.94,2.96,1.76,No Data,3.11,19.36,3.83,3.44,3.03
2005,No Data,3.4,14.93,2.1,10.55,3.97,5.21,1.48,No Data,3.37,1.75,2.87,No Data,2.27,21.84,3.02,3.19,2.72,2.27,11.39,5.36,5.7,5.39,6.64,2.98,2.16,9.55,2.92,6.165,No Data,15.32,No Data,10.31,6.76,3.07,4.12,4.5,3.51,3.07,No Data,7.32,2.88,3.26,1.69,No Data,3.1,21.26,3.93,3.57,2.88
2006,No Data,3.12,14.77,2,10.36,3.84,5.45,1.56,No Data,3.34,1.69,3.02,No Data,2.02,21.2,2.88,3.03,2.91,2.45,11.32,4.88,5.77,5.95,7.11,2.54,2.16,10.04,2.97,6.175,No Data,10.22,No Data,10.46,6.51,3,3.8,4.23,3.23,3.03,No Data,7.11,2.65,2.92,1.76,No Data,3.56,20.95,3.84,4.67,2.48
2007,No Data,3.02,14.94,2,10.31,3.81,5.4,1.67,No Data,3.01,1.97,2.57,No Data,1.79,23.47,3.39,2.93,2.7,2.44,11.2,5.1,5.59,5.92,6.66,2.67,2.06,10.24,2.83,6.775,No Data,12.41,No Data,11.58,7.55,2.97,3.6,4.12,3.07,2.56,No Data,6.89,2.76,2.64,1.61,No Data,3.17,21.29,4.27,5.23,3.53
2008,No Data,3.08,14.36,2.08,10.35,4.52,4.9,1.51,No Data,2.64,2.01,2.51,No Data,1.83,21.97,2.82,2.73,2.15,2.52,10.95,4.78,5.53,4.77,7.37,2.51,2.02,11.01,2.75,9.365,No Data,10.47,No Data,9.96,6.73,2.84,3.31,3.98,3.24,2.9,No Data,6.61,2.53,2.68,1.52,No Data,3.21,19.97,4.09,3.5,3.33
2009,No Data,3.7,15.96,2.23,9.7,4.81,5.32,1.21,No Data,2.92,2.05,2.65,No Data,1.75,22.67,2.83,2.64,1.93,2.7,10.8,4.97,5.41,4.02,6.66,2.68,2.29,10.93,2.59,10.275,No Data,9.1,No Data,10.1,6.49,2.9,3.56,4.02,3.5,3.05,No Data,6.59,3.27,2.62,1.49,No Data,3.67,20.97,5.26,4.13,3.71
