#Installed renewable electricity-generating capacity (watts per capita) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,No Data,No Data,No Data,50.188,No Data,No Data,No Data,No Data,No Data,1.71,2.0796,15.13466667,55.133,21.4928,53.5394,No Data,No Data,11.7586,3.325,8.322,0.735,No Data,No Data,0.525333333,44.5312,1.533125,No Data,No Data,No Data,0.209,14.5466,No Data,34.4158,10.872,No Data,15.1804,No Data,0.377,34.88333333,191.1055,No Data,9.032,0.388,2.1075,No Data,0.639,1.2976
2001,No Data,No Data,No Data,No Data,No Data,0.244666667,48.7242,No Data,No Data,No Data,No Data,No Data,1.702,2.0726,61.34733333,55.116,21.644,53.3676,No Data,No Data,11.8662,3.269,8.1998,0.722,No Data,No Data,0.518666667,48.1242,1.5225,No Data,No Data,No Data,0.206,14.2584,No Data,34.2316,10.68466667,No Data,15.0008,No Data,0.367,34.84933333,188.848,No Data,9.296,0.386,2.22825,No Data,0.633,1.2684
2002,No Data,No Data,No Data,No Data,No Data,0.244,47.4184,No Data,No Data,3.160666667,No Data,1.071,1.678,2.066,61.976,55.0545,21.3304,53.2952,No Data,No Data,11.956,3.215,7.9812,0.71,No Data,No Data,0.509333333,47.808,1.5135,No Data,No Data,No Data,0.204,13.9686,No Data,34.0344,10.48933333,No Data,14.9012,No Data,0.3905,34.784,186.6335,No Data,9.736,0.565333333,2.3015,No Data,0.625,1.2376
2003,No Data,No Data,No Data,No Data,No Data,0.243333333,46.2608,No Data,No Data,3.971333333,No Data,1.046,3.080666667,2.0608,62.29466667,54.8485,21.0496,53.2614,No Data,No Data,12.0368,3.162,7.9324,0.698,No Data,No Data,0.498666667,47.524,0.09675,No Data,No Data,No Data,0.202,14.0896,No Data,33.8288,10.28333333,No Data,14.8116,No Data,0.3805,34.71133333,184.4495,No Data,10.386,0.562,2.4235,No Data,0.617,1.2064
2004,No Data,No Data,No Data,No Data,No Data,0.242,45.1258,No Data,No Data,3.504,No Data,2.425,3.034666667,2.096,62.154,54.6975,20.7556,56.31,No Data,No Data,11.8428,3.1105,10.9548,2.243,No Data,No Data,0.856666667,47.3288,0.14225,No Data,No Data,No Data,0.201,13.8006,No Data,33.6176,10.06066667,No Data,14.6412,No Data,0.4025,34.648,182.3045,0.094,11.06733333,0.558666667,2.57975,No Data,0.608,1.1756
2005,No Data,No Data,No Data,No Data,No Data,0.482666667,53.996,No Data,No Data,3.455333333,No Data,2.367,3.006666667,25.8384,61.474,54.548,20.482,56.0872,No Data,No Data,11.9196,3.0605,10.8948,2.589,No Data,0.019,0.844666667,47.0176,0.1585,No Data,No Data,No Data,1.617,15.3496,No Data,33.4384,9.822,No Data,14.3376,No Data,0.3925,34.61733333,180.194,0.092,11.54133333,0.554666667,2.608,No Data,0.6,1.1468
2006,No Data,No Data,No Data,No Data,No Data,0.480666667,57.1366,No Data,No Data,2.984,No Data,2.312,3.002666667,17.5948,60.23533333,54.583,20.2572,61.5226,No Data,No Data,12.0042,3.0115,10.896,2.639,No Data,0.0975,0.836666667,46.772,0.1715,No Data,4.07,No Data,1.637,14.9984,No Data,27.6966,9.566666667,No Data,13.8928,No Data,0.903,34.622,178.115,0.09,12.01733333,0.727333333,2.6815,No Data,0.593,1.1196
2007,No Data,No Data,No Data,0.296,No Data,1.435333333,55.7602,No Data,No Data,2.946666667,No Data,2.257,3.018666667,20.942,58.574,54.94575,19.9996,65.7784,No Data,No Data,12.0856,2.964,10.8704,2.714,No Data,0.13,0.832666667,46.5648,0.229,No Data,4.063,No Data,1.67,16.2876,No Data,27.5184,9.300666667,No Data,13.3576,No Data,0.883,34.64933333,176.063,0.088,12.24866667,0.721333333,2.717,No Data,0.587,1.0936
2008,No Data,No Data,No Data,0.291,0.404,1.428666667,54.5202,No Data,No Data,2.911333333,No Data,2.203,3.048666667,21.8332,37.824,35.0845,19.8862,69.3392,0.942,No Data,12.1856,2.9175,10.846,2.744,No Data,2.178,1.780666667,46.363,0.3555,No Data,4.049,No Data,15.074,16.3546,No Data,27.3344,9.038666667,No Data,12.8296,No Data,0.863,34.686,174.04,0.292,12.346,0.716,0.8635,No Data,2.521,6.5242
2009,No Data,0.768666667,147.853,0.572,0.38,1.897333333,80.6024,No Data,No Data,2.876666667,No Data,2.151,3.082,21.7928,36.68933333,35.1455,21.9424,68.6778,1.21,No Data,28.3138,2.8725,10.9204,2.636,No Data,2.3145,3.2,46.3476,0.595,No Data,4.022,33.909,15.418,16.4166,0.058,27.1444,8.794,No Data,10.462,No Data,0.8465,34.72066667,172.047,0.287,12.43333333,0.77,0.9575,No Data,20.071,7.4792
