"#International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant United States dollars) "
Year,"Anguilla","Antigua and Barbuda","Aruba","Bahamas","Bahrain","Barbados","Belize","Bermuda","Virgin Islands, British","Cabo Verde","Cayman Islands","Comoros","Cook Islands","Cuba","Curaçao","Dominica","Dominican Republic","Fiji","Grenada","Guinea-Bissau","Guyana","Haiti","Jamaica","Kiribati","Saint Kitts and Nevis","Maldives","Marshall Islands","Mauritius","Micronesia, Federated States of","Montserrat","Nauru","Niue","Palau","Papua New Guinea","Saint Lucia","Samoa","Sao Tome and Principe","Seychelles","Singapore","Sint Maarten","Solomon Islands","Saint Vincent and the Grenadines","Suriname","Timor-Leste","Tokelau","Tonga","Trinidad and Tobago","Turks and Caicos Islands","Tuvalu","Vanuatu"
2000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.3975,No Data,No Data,11.1,No Data,No Data,No Data,No Data,0.84,5.18,No Data,No Data,4.77,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2001,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2.66,No Data,No Data,No Data,3.06,No Data,No Data,2.78,No Data,No Data,3.34,5.03,No Data,9.07,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.726666667,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2002,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.8575,No Data,No Data,0.443333333,No Data,No Data,4.56,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.22,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2003,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.236666667,No Data,No Data,No Data,No Data,0.46,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,4.09,No Data,No Data,No Data,No Data,No Data,No Data
2004,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.606666667,No Data,No Data,0.46,0.206666667,No Data,0.16,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.01,No Data,No Data,0.07,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.02,No Data,No Data,No Data,No Data
2005,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.02,No Data,No Data,No Data,0.41,No Data,No Data,4.17,0.26,No Data,No Data,0.03,0.32,No Data,No Data,No Data,No Data,3.11,No Data,5.51,No Data,2.07,2.43,2.3,No Data,No Data,No Data,0.19,No Data,No Data,No Data,No Data,No Data,No Data,1.35,No Data,0.76,No Data,No Data,No Data,No Data
2006,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.1925,No Data,No Data,0.35,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.45,No Data,0.44,No Data,No Data,No Data,No Data
2007,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.01,No Data,No Data,0.246666667,0.05,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.91,No Data,No Data,No Data,0.35,No Data,0.39,0.03,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,1.18,No Data,No Data,No Data,No Data,No Data,12.72
2008,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.29,No Data,No Data,No Data,0.05,No Data,No Data,0.15,No Data,No Data,No Data,No Data,No Data,0.273333333,No Data,0.36,0.11,No Data,No Data,No Data,0.86,No Data,No Data,No Data,0.03,No Data,No Data,No Data,No Data,No Data,No Data,0.09,0.36,No Data,0.046666667,No Data,No Data,No Data,No Data,0.03,0.03
2009,No Data,No Data,No Data,No Data,No Data,No Data,4.66,No Data,No Data,0.12,No Data,No Data,No Data,0.606666667,No Data,No Data,0.31,64.04666667,No Data,0.03,No Data,7.435,0.11,5.15,No Data,0.45,10.5,No Data,14.23,No Data,No Data,3.2,7.49,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.08,No Data,0.4,0.15,No Data,No Data,No Data,No Data,0.01,No Data
