Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,No Data,13.97333333,35.855,7.896666667,No Data,No Data,No Data,No Data,No Data,No Data,34.115,No Data,No Data,13.51666667,No Data,14.04,No Data,9.526666667,No Data,No Data,No Data,No Data,No Data,No Data,9.11,3.63,No Data,No Data,No Data,No Data,1.826666667,No Data,No Data,No Data,No Data,13.84,No Data,No Data,16.73,9.335,No Data,No Data,No Data,10.4875,No Data,No Data,No Data
2001,No Data,No Data,No Data,No Data,14.54333333,20.595,No Data,No Data,No Data,No Data,No Data,No Data,10.835,34.13,No Data,27.73666667,No Data,No Data,13.98666667,No Data,No Data,No Data,No Data,No Data,26.75666667,No Data,No Data,9.27,No Data,No Data,No Data,No Data,No Data,No Data,8.87,No Data,No Data,No Data,15.6675,No Data,No Data,13.4875,No Data,0.01,No Data,10.8125,10.7925,No Data,No Data,No Data
2002,No Data,No Data,No Data,No Data,13.77,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,47.89333333,No Data,No Data,No Data,No Data,13.93333333,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,9.87,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14.69,No Data,No Data,No Data,No Data,No Data,No Data,19.19,10.94,No Data,12.5,No Data
2003,No Data,No Data,No Data,No Data,13.50666667,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,34.81,No Data,No Data,No Data,6.71,13.88,No Data,No Data,No Data,8.413333333,No Data,No Data,No Data,No Data,9.7,3.275,No Data,No Data,35.295,No Data,No Data,30.84,5.495,No Data,No Data,7.073333333,No Data,7.715,No Data,No Data,No Data,No Data,2.31,11.2825,No Data,16.495,No Data
2004,No Data,No Data,No Data,No Data,5.925,No Data,No Data,No Data,No Data,No Data,No Data,3.08,14.815,35.63,No Data,No Data,No Data,No Data,No Data,3.203333333,No Data,No Data,No Data,9.76,No Data,11.555,No Data,13.0775,No Data,No Data,21.2125,42.6475,60.3,No Data,23.18,No Data,8.48,22.11,16.9575,No Data,No Data,15.07,20.40333333,6.166666667,No Data,No Data,No Data,No Data,No Data,9.555
2005,No Data,No Data,No Data,No Data,10.0625,19.3075,No Data,No Data,No Data,No Data,No Data,2.015,No Data,36.03,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,10.98,3.535,No Data,No Data,No Data,No Data,No Data,19.95,2.78,No Data,14.405,17.3025,No Data,4.725,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2006,No Data,No Data,No Data,No Data,10.05,No Data,No Data,No Data,No Data,0.06,No Data,No Data,No Data,36.515,No Data,No Data,No Data,No Data,15.44333333,No Data,No Data,No Data,No Data,0.11,No Data,No Data,No Data,11.4,No Data,No Data,No Data,33.825,36.92,No Data,No Data,No Data,No Data,14.1925,17.38,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13.57,No Data,No Data,No Data
2007,No Data,17.30333333,No Data,No Data,5.95,No Data,No Data,No Data,No Data,0.05,No Data,No Data,No Data,53.65666667,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,23.62666667,10.3125,10.6975,No Data,No Data,No Data,No Data,1.56,No Data,No Data,No Data,No Data,14.485,17.7775,No Data,No Data,No Data,No Data,5.12,No Data,No Data,13.67,No Data,No Data,8.43
2008,No Data,5.27,No Data,18.585,9.565,No Data,No Data,No Data,No Data,0.05,No Data,No Data,No Data,38.175,No Data,No Data,6.125,12.545,No Data,1.805,No Data,No Data,3.755,19.535,No Data,No Data,No Data,10.9625,3.765,No Data,26.93666667,34.375,No Data,2.28,No Data,6.3575,No Data,13.62,18.3275,No Data,1.77,No Data,No Data,3.503333333,No Data,20.355,No Data,No Data,18.69,4.5725
2009,No Data,No Data,No Data,No Data,9.375,No Data,9.776666667,No Data,No Data,3.8675,No Data,2.3775,19.49,38.505,No Data,No Data,7.555,7.545,No Data,1.9925,3.9925,No Data,No Data,No Data,No Data,18.555,No Data,11.2775,1.94,No Data,5.555,No Data,38.525,0.17,No Data,No Data,No Data,4.513333333,19.2475,No Data,20.96,No Data,12.75666667,3.816666667,No Data,10.95,14.245,No Data,11.54,No Data
2010,No Data,No Data,No Data,No Data,9.1625,No Data,No Data,No Data,No Data,4.2775,No Data,No Data,No Data,56.91333333,No Data,No Data,No Data,No Data,No Data,No Data,8.465,No Data,No Data,11.005,No Data,18.2675,7.315,11.54,No Data,No Data,11,No Data,27.77666667,2.745,9.05,7.083333333,No Data,14.65,20.345,No Data,No Data,16.345,No Data,3.893333333,No Data,11.3475,13.725,No Data,No Data,No Data
2011,No Data,No Data,No Data,17.8975,9.23,No Data,No Data,No Data,No Data,4.2125,No Data,No Data,No Data,40.68,No Data,No Data,10.28333333,No Data,No Data,3.13,No Data,3.3425,No Data,10.3625,No Data,No Data,20.175,12.3,No Data,No Data,21.535,No Data,No Data,No Data,10.225,No Data,No Data,4.713333333,19.045,No Data,5.3375,No Data,No Data,3.91,No Data,No Data,14.6,No Data,No Data,No Data
2012,No Data,No Data,No Data,No Data,9.255,No Data,11.245,No Data,No Data,8.03,No Data,0.723333333,No Data,55.72666667,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,4.7575,No Data,No Data,No Data,9.6575,12.35,No Data,No Data,No Data,No Data,No Data,0.46,12.08,17.87,No Data,14.3075,20.11,No Data,5.105,5.535,No Data,No Data,No Data,0.88,No Data,No Data,No Data,5.52
2013,No Data,46.01,No Data,No Data,9.27,No Data,19.56,No Data,No Data,6.95,No Data,No Data,60.67,56.22666667,No Data,66.06,14.35,18.595,No Data,5.34,7.16,1.2,4.8525,15.1075,No Data,No Data,No Data,13.5825,No Data,No Data,No Data,No Data,No Data,No Data,13.715,2.06,No Data,No Data,20.7825,No Data,5.8975,90.24,22.97,7.645,No Data,11.7625,No Data,No Data,No Data,No Data
2014,No Data,23.65,No Data,No Data,9.2775,No Data,20.23,No Data,No Data,9.18,No Data,No Data,23.165,56.89,No Data,67.65,14.5,No Data,No Data,5.23,6.28,No Data,4.6125,No Data,No Data,35.7,No Data,14.7425,No Data,No Data,No Data,No Data,38.64,No Data,10.375,18.57,No Data,No Data,39.34,No Data,No Data,90.36,20.35,6.973333333,No Data,No Data,No Data,No Data,13.41,No Data
2015,No Data,45.09,No Data,No Data,9.2,No Data,20.95,No Data,No Data,8.65,No Data,No Data,68.18,78.58,No Data,66.99,14.55,10.1525,No Data,3.795,6.97,1.243333333,4.7675,No Data,24.28666667,23.82333333,No Data,15.2625,No Data,No Data,21.1525,No Data,No Data,No Data,No Data,No Data,12.665,No Data,41.185,No Data,No Data,95.05,15.665,7.283333333,No Data,No Data,21.63333333,No Data,No Data,No Data
2016,No Data,44.87,No Data,No Data,No Data,No Data,21.44,No Data,No Data,4.84,No Data,No Data,70.29,79.06,No Data,66.9,12.07,No Data,6.8,2.413333333,7.32,No Data,5.25,0.49,No Data,30.52,No Data,15.455,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2.47,No Data,27.5575,23.4,No Data,1.203333333,84.11,15.425,No Data,No Data,No Data,23.825,No Data,No Data,1.65
2017,No Data,36.32,No Data,10.99,No Data,13.98,10.8625,No Data,No Data,12.8,No Data,No Data,61.14,59.01666667,No Data,24.29,6.925,No Data,15.39,No Data,7.87,No Data,7.785,No Data,No Data,22.2225,No Data,16.4175,No Data,No Data,No Data,No Data,No Data,0.67,11.01,No Data,No Data,No Data,42.94,No Data,No Data,63.12,15.565,8.983333333,No Data,No Data,25.1775,No Data,No Data,No Data
2018,No Data,45.17,No Data,45.67,No Data,30.6,11.89333333,No Data,No Data,6.485,No Data,4.6275,67.43,58.83666667,No Data,6.075,10.01,33.75,26.39333333,2.27,7.4675,1.7075,4.95,38.26,14.98,21.7075,33.39,16.9575,20.43,No Data,78.51,125,72.63,1.6075,No Data,24.89,19.24,70.9325,14.005,No Data,21.64,70.15,12.15,6.4625,No Data,41.57,26.3825,No Data,42.61,14.25
2019,No Data,90.83,No Data,No Data,No Data,No Data,1.38,No Data,No Data,2.18,No Data,No Data,41.715,No Data,No Data,No Data,8.15,20.4,No Data,No Data,9.313333333,No Data,No Data,No Data,No Data,18.81,1.19,14.335,21.53,No Data,3.7,No Data,2.22,1.753333333,No Data,17.735,7.0925,13.41,24.6,No Data,0.75,No Data,13.4,6.865,No Data,22.49,29.54666667,No Data,No Data,7.255
2020,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2.4925,12.71,No Data,No Data,No Data,No Data,18.02,No Data,27.13,9.39,No Data,No Data,No Data,22.1,No Data,No Data,9.9675,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6.7875,No Data,14.2625,No Data,No Data,12.29,No Data
