Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,12.6,No Data,13.9,10.7,13.7,20,No Data,No Data,31.1,No Data,72.4,15.5,7,No Data,14.1,32.4,19.1,12.9,105,37,74.5,18.9,51.7,19.8,31.7,33.9,16.6,34.35,No Data,34.3,26.6,25.5,53.6,15.6,18.1,54.3,11.8,3,No Data,25.6,19.2,27.5,84.5,No Data,14.5,24.7,No Data,33.9,23.9
2001,No Data,12.3,No Data,14,10.3,14,19.4,No Data,No Data,28.4,No Data,72.1,14.8,6.8,No Data,14.5,31.7,19,12.8,102.1,36.2,72.3,18.4,50.7,18.9,28.5,33.9,15.3,33.7,No Data,33.3,27.3,25.1,52.8,15.6,17.6,51.2,11.8,2.8,No Data,25.3,19.1,26.6,80.6,No Data,14.2,24.5,No Data,33.3,23.7
2002,No Data,11.9,No Data,14.1,10,14.2,18.9,No Data,No Data,26.3,No Data,72,14.1,6.5,No Data,14.9,31.1,19,12.6,99.1,35.4,70.3,18,50,18,25.5,33.8,14.4,33.2,No Data,32.6,28,24.7,52.1,15.6,17.1,48,11.8,2.6,No Data,25.1,19.1,25.7,76.8,No Data,13.8,24.3,No Data,32.7,23.6
2003,No Data,11.5,No Data,14.3,9.7,14.3,18.5,No Data,No Data,24.8,No Data,71.7,13.4,6.3,No Data,15.5,30.6,19.2,12.5,95.9,34.7,68.4,17.6,49.5,17.2,22.8,33.6,13.8,32.85,No Data,32,28.6,24.3,51.3,15.7,16.8,45,11.8,2.5,No Data,24.9,19,24.9,73,No Data,13.4,23.9,No Data,32.1,23.5
2004,No Data,11,No Data,14.4,9.4,14.4,18.2,No Data,No Data,24,No Data,71,12.7,6.1,No Data,16.1,30.1,19.4,12.5,92.6,34,66.7,17.3,49.4,16.5,21.4,33.4,13.5,32.7,No Data,31.6,29.1,24,50.4,15.8,16.6,42.1,11.8,2.4,No Data,24.7,19,24.2,69.3,No Data,13,23.5,No Data,31.5,23.6
2005,No Data,10.6,No Data,14.4,9.1,14.4,17.9,No Data,No Data,23.5,No Data,69.8,12.1,5.9,No Data,16.8,29.8,19.7,12.4,89.2,33.4,65.3,17,49.4,15.9,18.3,33.2,13.4,32.7,No Data,31.3,29.3,23.6,49.6,16,16.5,39.3,11.8,2.3,No Data,24.4,18.9,23.5,65.7,No Data,12.7,23,No Data,30.8,23.6
2006,No Data,10.1,No Data,14.3,8.8,14.3,17.6,No Data,No Data,23.4,No Data,68.4,11.5,5.7,No Data,17.5,29.5,19.9,12.5,85.9,32.8,63.8,16.7,49.7,15.5,16.5,32.9,13.2,32.75,No Data,31.3,29.3,23.2,48.7,16.1,16.5,36.6,11.9,2.3,No Data,24.1,18.8,22.9,62.1,No Data,12.3,22.4,No Data,30,23.8
2007,No Data,9.6,No Data,14.1,8.4,14.2,17.3,No Data,No Data,23.3,No Data,66.8,10.8,5.5,No Data,18.3,29.3,20.1,12.5,82.5,32.2,62.5,16.5,50,15.2,15.1,32.6,13,32.75,No Data,31.3,29,22.8,47.8,16.4,16.5,34.2,11.9,2.3,No Data,23.8,18.7,22.2,58.8,No Data,12,21.7,No Data,29,23.9
2008,No Data,9.2,No Data,13.9,8,14.1,17,No Data,No Data,23.1,No Data,65.3,10.3,5.4,No Data,19.2,29.1,20.2,12.7,79.1,31.7,61.3,16.2,50,14.9,13.8,32.3,12.7,32.7,No Data,31.2,28.6,22.3,46.8,16.6,16.5,31.9,12,2.3,No Data,23.3,18.5,21.7,56,No Data,11.8,21.2,No Data,28,24.1
2009,No Data,8.7,No Data,13.6,7.6,13.9,16.6,No Data,No Data,22.7,No Data,63.7,9.7,5.2,No Data,20.2,29,20.1,12.8,75.9,31.1,60,15.8,49.8,14.7,12.8,32,12.5,32.4,No Data,31,28.1,21.8,45.9,16.9,18.8,29.7,12,2.3,No Data,22.8,18.2,21.1,53.6,No Data,11.5,20.7,No Data,27,24.2
