Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2010,No Data,65.53846154,No Data,59.15384615,66.69230769,60.38461538,31.76923077,No Data,No Data,58.15384615,No Data,No Data,No Data,No Data,No Data,43.15384615,52.07692308,30.61538462,No Data,No Data,32.53846154,No Data,32.15384615,59.23076923,No Data,63.61538462,73.30769231,No Data,31.76923077,No Data,41.07692308,No Data,57.84615385,No Data,28.76923077,No Data,23.69230769,18.23076923,97.07692308,No Data,No Data,No Data,No Data,36.84615385,No Data,59.15384615,55.07692308,No Data,No Data,8.384615385
2011,No Data,52.53846154,No Data,56.69230769,73.07692308,72.84615385,46.84615385,No Data,No Data,No Data,No Data,No Data,No Data,91.69230769,No Data,57.07692308,No Data,No Data,57.07692308,No Data,73.46153846,29.69230769,82.53846154,57.46153846,No Data,49.46153846,53,No Data,35.92307692,No Data,No Data,No Data,79.46153846,47.30769231,37.69230769,67.15384615,21.53846154,39.07692308,99.38461538,No Data,No Data,No Data,42.53846154,34.53846154,No Data,48.38461538,No Data,No Data,No Data,No Data
2012,No Data,72.07692308,No Data,No Data,85,69,48.53846154,No Data,No Data,No Data,No Data,No Data,89.15384615,98.92307692,No Data,57.23076923,53.84615385,43.15384615,48.23076923,No Data,75.69230769,No Data,79,65.30769231,56.84615385,58.15384615,45.84615385,No Data,72.53846154,No Data,No Data,41.15384615,90.23076923,46.38461538,38,58,19.69230769,42.30769231,98.92307692,No Data,32.30769231,34.84615385,48.30769231,44.30769231,No Data,53.38461538,62.53846154,No Data,90.76923077,11
2013,No Data,73.23076923,No Data,No Data,84.30769231,78.15384615,43.46153846,No Data,No Data,No Data,No Data,29.15384615,89.46153846,99,No Data,68.61538462,71.84615385,95,57.53846154,No Data,77.38461538,45.38461538,61.46153846,70.23076923,58.15384615,67.53846154,50.84615385,54.92307692,34.53846154,No Data,No Data,53.61538462,84.38461538,54,No Data,70.92307692,15.84615385,54.38461538,99.38461538,No Data,47.61538462,58.15384615,61.38461538,50.84615385,No Data,73.92307692,68.30769231,No Data,82.92307692,67.92307692
2014,No Data,84.69230769,No Data,61.07692308,92.07692308,70.53846154,No Data,No Data,No Data,No Data,No Data,No Data,No Data,96.46153846,No Data,68.84615385,72.61538462,98.15384615,No Data,35.69230769,79.38461538,40.69230769,54.92307692,60.07692308,No Data,66,No Data,68.38461538,62,No Data,41.76923077,60.76923077,91.92307692,64.23076923,43.84615385,76,15.84615385,76.46153846,99.38461538,No Data,56.46153846,49.30769231,70.53846154,63.23076923,No Data,No Data,70.15384615,No Data,No Data,No Data
2015,No Data,86.84615385,No Data,58.30769231,96.30769231,89.92307692,55.69230769,No Data,No Data,No Data,No Data,No Data,67.46153846,98.92307692,No Data,63.69230769,72.38461538,No Data,65.76923077,47.53846154,80.61538462,48.15384615,79.76923077,No Data,60.23076923,58.92307692,No Data,67.23076923,64.07692308,No Data,No Data,No Data,90.61538462,No Data,57.15384615,74.76923077,16.15384615,81.61538462,99.38461538,No Data,57.53846154,34.76923077,69.38461538,65.30769231,No Data,No Data,69.07692308,No Data,89.15384615,44
2016,No Data,80.69230769,No Data,75.07692308,95.61538462,83.53846154,No Data,No Data,No Data,61.76923077,No Data,No Data,55.76923077,98.61538462,No Data,62.38461538,70.92307692,No Data,65.76923077,48.76923077,No Data,56.30769231,82.61538462,No Data,No Data,60.53846154,57,69.84615385,85.76923077,No Data,No Data,No Data,91.38461538,No Data,77,No Data,16.15384615,87.69230769,99.38461538,No Data,No Data,64.53846154,71.61538462,65.92307692,No Data,No Data,72.69230769,No Data,No Data,No Data
2017,No Data,70.76923077,No Data,No Data,93.07692308,92,No Data,No Data,No Data,64.53846154,No Data,37.30769231,43.15384615,98.84615385,No Data,61.69230769,54.92307692,No Data,No Data,53.46153846,88.61538462,No Data,No Data,No Data,51.61538462,62.61538462,57,70.69230769,85.76923077,No Data,No Data,No Data,91.38461538,No Data,No Data,No Data,15.76923077,86.84615385,99.38461538,No Data,56.92307692,No Data,71.46153846,72.76923077,No Data,No Data,71.61538462,No Data,54.15384615,34.76923077
2018,No Data,41.84615385,No Data,49.69230769,88.30769231,No Data,33.15384615,No Data,No Data,45.84615385,No Data,18.92307692,64.92307692,100,No Data,70.23076923,47.61538462,63.30769231,No Data,40.23076923,No Data,38.53846154,76.38461538,50.69230769,47.76923077,42.53846154,48.92307692,61.76923077,No Data,No Data,34.15384615,71.07692308,60.30769231,35.92307692,59.84615385,73.07692308,38.69230769,48.15384615,91,No Data,33.53846154,44.61538462,73.30769231,43.61538462,No Data,57.46153846,48.69230769,No Data,54.38461538,34.15384615
2019,No Data,No Data,No Data,61.53846154,80,No Data,No Data,No Data,No Data,47.69230769,No Data,27.46153846,67.69230769,77.92307692,No Data,70.76923077,54.92307692,No Data,No Data,25.46153846,87.69230769,No Data,83.61538462,No Data,51.30769231,50.76923077,No Data,64.07692308,35.38461538,No Data,No Data,66.92307692,63.38461538,21.30769231,69,No Data,31.84615385,52.84615385,92.30769231,No Data,No Data,49,56.84615385,36.92307692,No Data,No Data,53.30769231,No Data,No Data,No Data
2020,No Data,No Data,No Data,64.61538462,No Data,No Data,48.23076923,No Data,No Data,52.30769231,No Data,41.30769231,58.69230769,No Data,No Data,No Data,60,No Data,No Data,35.15384615,100,39.76923077,87.15384615,70,51.30769231,46.69230769,48.76923077,64.07692308,48.69230769,No Data,No Data,No Data,64.38461538,No Data,69,No Data,31.07692308,56.46153846,92.30769231,No Data,47.07692308,No Data,59.46153846,41.76923077,No Data,65.38461538,No Data,No Data,47.69230769,55.38461538
