Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,No Data,No Data,1.08,No Data,No Data,1.12,No Data,No Data,No Data,No Data,0.02,No Data,0.07,No Data,No Data,1.06,0.03,No Data,3.74,0.87,1.54,0.99,No Data,No Data,No Data,No Data,1.1,No Data,No Data,No Data,No Data,No Data,0.57,No Data,No Data,No Data,No Data,0.12,No Data,No Data,No Data,1.01,0.03,No Data,No Data,0.89,No Data,No Data,No Data
2001,No Data,No Data,No Data,0.99,No Data,No Data,1.04,No Data,No Data,No Data,No Data,0.02,No Data,0.09,No Data,No Data,0.92,0.03,No Data,3.68,1,1.56,1,No Data,No Data,No Data,No Data,1.12,No Data,No Data,No Data,No Data,No Data,0.65,No Data,No Data,No Data,No Data,0.12,No Data,No Data,No Data,0.99,0.04,No Data,No Data,0.89,No Data,No Data,No Data
2002,No Data,No Data,No Data,0.92,No Data,No Data,0.95,No Data,No Data,No Data,No Data,0.02,No Data,0.1,No Data,No Data,0.8,0.04,No Data,3.43,1.07,1.45,1,No Data,No Data,No Data,No Data,1.14,No Data,No Data,No Data,No Data,No Data,0.68,No Data,No Data,No Data,No Data,0.13,No Data,No Data,No Data,0.98,0.04,No Data,No Data,0.88,No Data,No Data,No Data
2003,No Data,No Data,No Data,0.85,No Data,No Data,0.88,No Data,No Data,No Data,No Data,0.02,No Data,0.12,No Data,No Data,0.7,0.04,No Data,3.18,1.09,1.39,0.93,No Data,No Data,No Data,No Data,1.15,No Data,No Data,No Data,No Data,No Data,0.66,No Data,No Data,No Data,No Data,0.14,No Data,No Data,No Data,0.91,0.04,No Data,No Data,0.84,No Data,No Data,No Data
2004,No Data,No Data,No Data,0.75,No Data,No Data,0.83,No Data,No Data,No Data,No Data,0.02,No Data,0.14,No Data,No Data,0.59,0.05,No Data,2.99,1.05,1.28,0.81,No Data,No Data,No Data,No Data,1.14,No Data,No Data,No Data,No Data,No Data,0.6,No Data,No Data,No Data,No Data,0.14,No Data,No Data,No Data,0.84,0.05,No Data,No Data,0.79,No Data,No Data,No Data
2005,No Data,No Data,No Data,0.72,No Data,No Data,0.8,No Data,No Data,No Data,No Data,0.02,No Data,0.15,No Data,No Data,0.53,0.05,No Data,2.85,0.95,1.19,0.79,No Data,No Data,No Data,No Data,1.13,No Data,No Data,No Data,No Data,No Data,0.53,No Data,No Data,No Data,No Data,0.14,No Data,No Data,No Data,0.77,0.05,No Data,No Data,0.72,No Data,No Data,No Data
2006,No Data,No Data,No Data,0.66,No Data,No Data,0.75,No Data,No Data,No Data,No Data,0.02,No Data,0.16,No Data,No Data,0.47,0.06,No Data,2.69,0.84,1.12,0.71,No Data,No Data,No Data,No Data,1.14,No Data,No Data,No Data,No Data,No Data,0.45,No Data,No Data,No Data,No Data,0.15,No Data,No Data,No Data,0.72,0.05,No Data,No Data,0.65,No Data,No Data,No Data
2007,No Data,No Data,No Data,0.63,No Data,No Data,0.72,No Data,No Data,No Data,No Data,0.02,No Data,0.17,No Data,No Data,0.41,0.06,No Data,2.62,0.76,1.04,0.71,No Data,No Data,No Data,No Data,1.14,No Data,No Data,No Data,No Data,No Data,0.4,No Data,No Data,No Data,No Data,0.14,No Data,No Data,No Data,0.66,0.06,No Data,No Data,0.58,No Data,No Data,No Data
2008,No Data,No Data,No Data,0.61,No Data,No Data,0.69,No Data,No Data,No Data,No Data,0.02,No Data,0.18,No Data,No Data,0.41,0.07,No Data,2.54,0.71,0.99,0.7,No Data,No Data,No Data,No Data,1.12,No Data,No Data,No Data,No Data,No Data,0.37,No Data,No Data,No Data,No Data,0.14,No Data,No Data,No Data,0.61,0.06,No Data,No Data,0.5,No Data,No Data,No Data
2009,No Data,No Data,No Data,0.58,No Data,No Data,0.66,No Data,No Data,No Data,No Data,0.02,No Data,0.18,No Data,No Data,0.38,0.08,No Data,2.35,0.66,0.94,0.71,No Data,No Data,No Data,No Data,1.1,No Data,No Data,No Data,No Data,No Data,0.35,No Data,No Data,No Data,No Data,0.13,No Data,No Data,No Data,0.6,0.07,No Data,No Data,0.44,No Data,No Data,No Data
