Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2010,No Data,134,No Data,10,3,2917,10456,No Data,No Data,170442,No Data,517852,No Data,167722,No Data,3121,1193533,879985,878,1545580,690869,9603682,125663,93236,518,927,17892,24322,35187,No Data,2894,No Data,20044,6113938,41619,186649,410000,1,5375,No Data,191840,573,432,1101449,No Data,30,20521,No Data,9777,86888
2011,No Data,133,No Data,7000,4,746,10471,No Data,No Data,169326,No Data,518985,No Data,164093,No Data,3080,1365512,529984,873,1746320,690869,10018427,124004,103058,518,2923,18044,23990,35002,No Data,2874,No Data,20044,6167038,41363,186649,410000,1,5341,No Data,194300,565,450,1128972,No Data,No Data,20526,No Data,10534,88267
2012,No Data,117,No Data,5,No Data,1445,10514,No Data,No Data,142687,No Data,524706,No Data,162007,No Data,2723,1303776,637852,896,1777561,690869,10905822,144481,103058,463,1090,15244,23296,34797,No Data,2837,No Data,20044,6205145,41542,186649,410000,No Data,4078,No Data,404985,529,1284,1211898,No Data,36483,20583,No Data,10513,87594
2013,No Data,1360,No Data,3,No Data,2848,7565,No Data,No Data,136960,No Data,521439,No Data,55804,No Data,7949,1306123,277616,156,1880661,544676,11166579,417491,60488,100,684,14594,20861,22976,No Data,9488,No Data,3,6252956,36090,186649,410000,No Data,20690,No Data,487695,127,428,1102227,No Data,36604,17829,No Data,10515,219937
2014,No Data,1358,No Data,146,No Data,2689,7062,No Data,No Data,135058,No Data,522782,946,50265,No Data,7879,1183935,892573,39,1884348,719455,11358721,410764,54746,75,747,21253,No Data,52285,No Data,2749,No Data,15,6301846,35952,182052,194850,1,17996,No Data,522826,117,51357,1108101,No Data,36668,17869,No Data,11772,262202
2015,No Data,158,No Data,4127,6,390,7300,No Data,No Data,136792,No Data,525978,765,43862,No Data,7546,989731,898821,25,1731541,747901,9831829,343044,33294,5,1892,28996,No Data,72590,No Data,2822,No Data,15,6425746,33729,61325,199686,No Data,10473,No Data,534850,13,56918,1170044,No Data,36871,19323,No Data,10550,266041
2016,No Data,176,No Data,4077,3,1433,7312,No Data,No Data,145562,No Data,527919,No Data,43687,No Data,7473,970832,905113,151,1576882,720459,7581135,347536,117424,136,1937,19594,No Data,70736,No Data,2844,1,41,6528722,26921,61325,192537,No Data,13098,No Data,518106,89,58237,1167125,No Data,37131,19498,No Data,10782,271465
2017,No Data,161,No Data,3940,2,398,6903,No Data,No Data,123664,No Data,828148,No Data,40866,No Data,6920,2805557,911449,239,1348965,730205,6052962,305891,120007,10,1004,19594,No Data,70736,No Data,2844,No Data,No Data,6546649,23465,61325,192800,No Data,2695,No Data,530022,5,54467,1279948,No Data,37131,18226,No Data,10782,277708
2018,No Data,1201,No Data,10,1,67,2158,No Data,No Data,125137,No Data,828148,No Data,2348,No Data,562,2700201,917552,463,1206042,719312,5771386,988,121374,6,3411,19594,1,70736,No Data,2844,No Data,1,6261977,98,191219,201784,No Data,6,No Data,542215,4,261,1293316,No Data,37131,160,No Data,12052,284095
2019,No Data,1223,No Data,27,No Data,44,13317,No Data,No Data,137073,No Data,788813,No Data,3445,No Data,1066,2749409,919387,106,1232549,685176,5921717,7560,122769,46,5013,19594,No Data,70736,No Data,10774,No Data,3,6982087,26,191219,201114,No Data,15998,No Data,493611,702,241,1327038,No Data,37131,442,No Data,11500,291481
2020,No Data,1207,No Data,3,2,301,2785,No Data,No Data,150015,No Data,503090,No Data,48144,No Data,399,2612634,921225,253,1892353,685741,4363545,824,124250,20,330,19594,No Data,70736,No Data,10774,No Data,No Data,6982087,1318,191219,210238,1,35315,No Data,503483,1790,617,1361778,No Data,37131,59,No Data,11500,299059
