Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2000,No Data,99.9,No Data,99,97.7,98,90.2,No Data,No Data,No Data,No Data,61.8,98,99.9,No Data,100,97.6,96.9,100,31.8,82.9,23.8,95.9,85,99.4,No Data,No Data,99.7,82.8,No Data,No Data,100,100,No Data,100,80,78.6,99,99.7,No Data,No Data,100,70.9,No Data,No Data,95,96,No Data,100,88
2001,No Data,100,No Data,99,97.5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99.9,No Data,No Data,No Data,98.4,No Data,No Data,93.8,No Data,No Data,No Data,No Data,No Data,No Data,No Data,85.7,98,No Data,100,No Data,No Data,No Data,No Data,No Data,No Data,99.6,No Data,No Data,100,No Data,No Data,No Data,95.3,99.5,No Data,No Data,No Data
2002,No Data,No Data,No Data,99,97.6,100,97,No Data,No Data,No Data,No Data,No Data,No Data,99.9,No Data,100,97.8,96.9,No Data,No Data,No Data,No Data,96.9,76,99.5,No Data,No Data,No Data,81.6,100,No Data,100,100,No Data,98,No Data,No Data,No Data,99.7,No Data,No Data,100,No Data,24,No Data,95.1,98.7,No Data,100,No Data
2003,No Data,99,No Data,99,97.8,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99.9,No Data,100,No Data,96.7,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,98.4,84.6,100,No Data,No Data,No Data,No Data,99,No Data,No Data,No Data,99.7,No Data,No Data,No Data,No Data,18.4,No Data,97,99.7,No Data,No Data,84
2004,No Data,100,No Data,98,97.7,100,87.8,No Data,No Data,No Data,No Data,No Data,No Data,99.9,No Data,100,No Data,97,No Data,No Data,95.9,No Data,No Data,No Data,100,84,No Data,No Data,No Data,100,No Data,No Data,No Data,39,100,No Data,No Data,No Data,99.7,No Data,No Data,100,No Data,No Data,No Data,98,99.7,No Data,No Data,No Data
2005,No Data,99.9,No Data,98.7,97.5,100,89.3,No Data,No Data,77.5,No Data,No Data,100,99.9,No Data,99,No Data,97.2,100,No Data,96.7,26.1,96.7,63,100,91.6,No Data,99.2,82.7,100,No Data,100,No Data,No Data,100,No Data,No Data,99,99.7,No Data,No Data,100,No Data,No Data,No Data,96.1,No Data,No Data,No Data,92
2006,No Data,99.9,No Data,99,97.5,100,95.8,No Data,No Data,76.4,No Data,No Data,No Data,99.9,No Data,No Data,95.5,99.3,No Data,31,96.6,26.1,No Data,No Data,100,94.2,No Data,No Data,85.3,100,No Data,100,100,53,97.9,No Data,80.7,99,99.7,No Data,No Data,No Data,86.5,No Data,No Data,98,96.9,No Data,No Data,92.9
2007,No Data,100,No Data,98.4,97.4,100,90.7,No Data,No Data,74.4,No Data,No Data,No Data,99.9,No Data,94,97.8,99,98.8,No Data,80.9,No Data,93,No Data,100,96.3,86.2,No Data,No Data,100,97.4,100,100,No Data,100,No Data,No Data,100,99.7,No Data,85.5,100,90,No Data,No Data,98,No Data,No Data,93.1,74
2008,No Data,100,No Data,98.5,97.5,100,94.9,No Data,No Data,74.6,No Data,No Data,100,99.9,No Data,100,No Data,98.8,No Data,No Data,96,No Data,No Data,65,100,98.3,No Data,99.5,90,100,No Data,No Data,100,No Data,100,No Data,No Data,100,99.8,No Data,No Data,99.2,90,No Data,No Data,97,99.5,No Data,No Data,No Data
2009,No Data,100,No Data,98.9,99.4,100,93.5,No Data,No Data,75.6,No Data,No Data,100,99.9,No Data,100,No Data,99.8,100,No Data,87.4,No Data,98.3,79.8,100,94.8,86.5,99.4,100,100,No Data,No Data,99.3,No Data,No Data,80.8,81.7,99,99.7,No Data,No Data,98.9,90,No Data,No Data,98.1,No Data,No Data,No Data,No Data
2010,100,100,No Data,99.1,99.3,No Data,94,No Data,No Data,98.5,No Data,No Data,No Data,99.9,No Data,100,No Data,99.7,No Data,43,No Data,No Data,95.3,98.3,100,98.2,90,99.5,No Data,100,No Data,100,99.6,No Data,98.5,No Data,No Data,99,99.7,No Data,No Data,98.3,90,29.3,No Data,99,No Data,No Data,No Data,No Data
2011,No Data,No Data,No Data,99.1,99.6,100,96.2,No Data,No Data,98.7,No Data,No Data,No Data,99.9,No Data,100,98.7,99.6,100,No Data,No Data,No Data,99.1,No Data,100,98.8,90.1,99.5,No Data,100,No Data,100,100,No Data,No Data,No Data,No Data,99,99.7,No Data,No Data,98.8,No Data,No Data,No Data,No Data,98,No Data,No Data,No Data
2012,100,100,No Data,98.9,99.8,98.9,93.7,No Data,No Data,No Data,No Data,82.2,No Data,99.9,No Data,100,98.8,99.3,99,No Data,97.3,37.3,99.5,No Data,100,95.5,No Data,99.6,No Data,100,No Data,No Data,97.4,No Data,98.7,No Data,No Data,99,99.7,No Data,No Data,99.2,No Data,No Data,No Data,95.5,100,No Data,No Data,No Data
2013,100,100,No Data,98.6,99.8,98.6,93,No Data,No Data,92.3,No Data,No Data,No Data,99.9,No Data,100,98.6,98.8,99,No Data,98.3,48.6,99.7,No Data,100,95.6,No Data,99.7,No Data,98,No Data,No Data,99.1,No Data,No Data,No Data,No Data,No Data,99.6,No Data,No Data,99,No Data,No Data,No Data,No Data,100,No Data,No Data,89.4
2014,100,100,No Data,98.9,99.8,99.8,93.1,No Data,No Data,95.6,No Data,No Data,No Data,99.4,No Data,100,98.6,99.7,99,45,85.7,No Data,99.7,No Data,100,95.6,No Data,99.7,No Data,98,No Data,No Data,100,No Data,99.1,82.5,92.5,No Data,99.7,No Data,No Data,99.9,No Data,No Data,No Data,No Data,100,No Data,No Data,No Data
2015,98.8,100,No Data,98,99.9,99,93.5,No Data,No Data,91.4,No Data,No Data,No Data,99.9,No Data,100,99.6,99.9,99,No Data,95.8,No Data,99.7,No Data,100,No Data,No Data,99.8,No Data,100,No Data,No Data,100,No Data,99.1,No Data,No Data,No Data,99.7,No Data,86.2,98.7,90,No Data,No Data,No Data,100,No Data,No Data,No Data
2016,100,No Data,No Data,99,99.7,99.1,96.8,No Data,No Data,92.6,No Data,No Data,No Data,99.9,No Data,100,99.8,99.8,99.3,No Data,94.3,No Data,99.7,No Data,No Data,No Data,No Data,99.7,No Data,100,No Data,No Data,100,No Data,No Data,No Data,No Data,No Data,99.7,No Data,No Data,98.6,No Data,56.7,No Data,No Data,100,No Data,No Data,No Data
2017,100,100,No Data,No Data,99.9,No Data,95.3,No Data,No Data,92.4,No Data,No Data,No Data,99.9,No Data,100,99.8,No Data,100,No Data,96.7,41.6,99.7,No Data,No Data,99.5,92.4,99.8,No Data,100,No Data,No Data,100,No Data,100,No Data,No Data,No Data,99.6,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,No Data,No Data
2018,100,No Data,No Data,99,99.6,99,94.8,No Data,No Data,97.3,No Data,No Data,No Data,99.9,No Data,100,99.7,No Data,No Data,No Data,95.1,No Data,99.7,No Data,100,No Data,No Data,99.8,No Data,100,No Data,No Data,100,56.4,100,No Data,No Data,No Data,99.6,No Data,No Data,No Data,98.4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2019,100,No Data,No Data,99,99.6,98,95.3,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,100,99.2,No Data,No Data,53.8,95,No Data,No Data,91.9,100,No Data,No Data,99.8,No Data,100,No Data,No Data,100,No Data,100,No Data,96.8,98.8,99.6,No Data,No Data,No Data,No Data,No Data,No Data,98.3,No Data,No Data,No Data,No Data
2020,100,99,No Data,No Data,No Data,98.4,94.6,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,No Data,No Data,No Data,No Data,97.6,No Data,No Data,No Data,100,No Data,No Data,No Data,No Data,No Data,No Data,No Data,97.2,No Data,No Data,88.9,No Data,99.5,99.6,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100,99.5,No Data
2021,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,99.8,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
