Year,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Bahrain,Barbados,Belize,Bermuda,"Virgin Islands, British",Cabo Verde,Cayman Islands,Comoros,Cook Islands,Cuba,Curaçao,Dominica,Dominican Republic,Fiji,Grenada,Guinea-Bissau,Guyana,Haiti,Jamaica,Kiribati,Saint Kitts and Nevis,Maldives,Marshall Islands,Mauritius,"Micronesia, Federated States of",Montserrat,Nauru,Niue,Palau,Papua New Guinea,Saint Lucia,Samoa,Sao Tome and Principe,Seychelles,Singapore,Sint Maarten,Solomon Islands,Saint Vincent and the Grenadines,Suriname,Timor-Leste,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands,Tuvalu,Vanuatu
2010,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,46,No Data,11,No Data,No Data,No Data,9,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2011,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,74,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2012,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,2,No Data,No Data,No Data,No Data,No Data,3,No Data,1,No Data,No Data,No Data,11,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,48,No Data,No Data,No Data,No Data,59,No Data,No Data,9,No Data,No Data,No Data,No Data,No Data,10,No Data,3,No Data,No Data,No Data,23,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,No Data,No Data,No Data
2014,No Data,No Data,No Data,No Data,No Data,8,No Data,No Data,No Data,No Data,No Data,No Data,99,No Data,No Data,No Data,No Data,89,No Data,No Data,4,No Data,No Data,No Data,No Data,No Data,14,No Data,4,No Data,No Data,No Data,26,No Data,No Data,No Data,No Data,83,No Data,No Data,No Data,No Data,40,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2015,No Data,No Data,No Data,2,No Data,30,No Data,No Data,No Data,No Data,No Data,No Data,83,No Data,No Data,No Data,No Data,67,No Data,No Data,3,No Data,No Data,No Data,No Data,No Data,23,No Data,6,No Data,No Data,No Data,24,No Data,No Data,No Data,No Data,93,No Data,No Data,No Data,No Data,68,No Data,No Data,No Data,6,No Data,No Data,No Data
2016,No Data,No Data,No Data,19,No Data,15,No Data,No Data,No Data,No Data,No Data,No Data,41,No Data,No Data,No Data,No Data,53,No Data,No Data,8,No Data,No Data,No Data,No Data,No Data,31,No Data,8,No Data,No Data,No Data,31,No Data,No Data,No Data,No Data,99,No Data,No Data,No Data,No Data,37,No Data,No Data,No Data,6,No Data,No Data,No Data
2017,No Data,No Data,No Data,17,No Data,14,51,No Data,No Data,No Data,No Data,No Data,69,No Data,No Data,No Data,34,56,No Data,No Data,13,No Data,No Data,No Data,No Data,No Data,21,77,47,No Data,No Data,No Data,36,No Data,No Data,No Data,No Data,82,No Data,No Data,No Data,No Data,55,No Data,No Data,No Data,12,No Data,No Data,No Data
2018,No Data,No Data,No Data,10,No Data,26,54,No Data,No Data,No Data,No Data,No Data,70,No Data,No Data,No Data,31,48,No Data,No Data,20,No Data,8,No Data,No Data,No Data,28,81,42,No Data,No Data,No Data,47,No Data,No Data,No Data,No Data,96,No Data,No Data,No Data,4,55,No Data,No Data,No Data,14,No Data,No Data,No Data
2019,No Data,No Data,No Data,9,No Data,29,63,No Data,No Data,No Data,No Data,No Data,73,No Data,No Data,No Data,7,56,41,No Data,20,No Data,9,No Data,No Data,No Data,24,80,41.5,No Data,No Data,No Data,67,No Data,46,No Data,No Data,68,No Data,No Data,No Data,10,38,No Data,No Data,No Data,9,No Data,No Data,No Data
2020,No Data,No Data,No Data,4,No Data,7,11,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,69,7,89,32,No Data,25,No Data,3,No Data,No Data,68,17,74,26.5,No Data,No Data,No Data,No Data,No Data,74,No Data,No Data,24,No Data,No Data,22,12,4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
